case,cores,status,no_l2_makespan,cache_makespan,l2_relative_speedup,no_l2_added_copy_bytes,cache_added_copy_bytes,cache_partition_added_copy_bytes,cache_spill_added_copy_bytes,no_l2_cache_hit_rate,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_misses,official_evals,solver_seconds,plan_file,result_file
case_005,2,scored,50595,50595,1.000000000,490118,490118,490118,0,,0.118913242,74502,552022,30,309,12,11.651,results_problem3_v2_final/case_005_2cores/best_plan.json,results_problem3_v2_final/case_005_2cores/best_result.json.gz
case_005,3,scored,37033,36409,1.017138620,813578,813578,813578,0,,0.409721093,362790,522666,150,312,12,10.603,results_problem3_v2_final/case_005_3cores/best_plan.json,results_problem3_v2_final/case_005_3cores/best_result.json.gz
case_005,4,scored,31896,30360,1.050592885,1187408,1211728,1211728,0,,0.331656571,381614,769016,220,419,12,11.746,results_problem3_v2_final/case_005_4cores/best_plan.json,results_problem3_v2_final/case_005_4cores/best_result.json.gz
case_005,5,scored,32002,27941,1.145341971,1405080,1416726,1416726,0,,0.309851974,397462,885286,282,442,12,12.224,results_problem3_v2_final/case_005_5cores/best_plan.json,results_problem3_v2_final/case_005_5cores/best_result.json.gz
case_006,1,scored,82837,82837,1.000000000,16400,16400,0,16400,,0.029275126,16384,543272,9,135,1,0.096,results_problem3_v2_final/case_006_1cores/best_plan.json,results_problem3_v2_final/case_006_1cores/best_result.json.gz
case_006,2,scored,38939,38939,1.000000000,150472,150472,150472,0,,0.216808419,150400,543300,25,149,12,2.395,results_problem3_v2_final/case_006_2cores/best_plan.json,results_problem3_v2_final/case_006_2cores/best_result.json.gz
case_006,3,scored,26530,26504,1.000980984,352612,352612,352612,0,,0.393516152,352522,543304,55,151,12,3.292,results_problem3_v2_final/case_006_3cores/best_plan.json,results_problem3_v2_final/case_006_3cores/best_result.json.gz
case_006,4,scored,21219,20792,1.020536745,317704,334068,334068,0,,0.380681520,333962,543312,53,155,12,4.238,results_problem3_v2_final/case_006_4cores/best_plan.json,results_problem3_v2_final/case_006_4cores/best_result.json.gz
case_006,5,scored,19260,17666,1.090229820,422428,422428,422428,0,,0.363912537,349070,610144,48,177,12,3.943,results_problem3_v2_final/case_006_5cores/best_plan.json,results_problem3_v2_final/case_006_5cores/best_result.json.gz
case_007,1,scored,1012562,1012562,1.000000000,0,0,0,0,,0.000000000,0,880128,0,558,1,1.061,results_problem3_v2_final/case_007_1cores/best_plan.json,results_problem3_v2_final/case_007_1cores/best_result.json.gz
case_007,2,scored,507494,507494,1.000000000,27648,27648,27648,0,,0.000000000,0,907776,0,561,6,2.510,results_problem3_v2_final/case_007_2cores/best_plan.json,results_problem3_v2_final/case_007_2cores/best_result.json.gz
case_007,3,scored,338094,338094,1.000000000,55296,55296,55296,0,,0.000000000,0,935424,0,564,8,1.951,results_problem3_v2_final/case_007_3cores/best_plan.json,results_problem3_v2_final/case_007_3cores/best_result.json.gz
case_007,4,scored,254398,254398,1.000000000,82944,82944,82944,0,,0.000000000,0,963072,0,567,8,2.322,results_problem3_v2_final/case_007_4cores/best_plan.json,results_problem3_v2_final/case_007_4cores/best_result.json.gz
case_007,5,scored,203834,203834,1.000000000,110592,110592,110592,0,,0.000000000,0,990720,0,570,8,2.313,results_problem3_v2_final/case_007_5cores/best_plan.json,results_problem3_v2_final/case_007_5cores/best_result.json.gz
case_008,1,scored,487605,487605,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,1,1.245,results_problem3_v2_final/case_008_1cores/best_plan.json,results_problem3_v2_final/case_008_1cores/best_result.json.gz
case_008,2,scored,244266,244266,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,6,1.289,results_problem3_v2_final/case_008_2cores/best_plan.json,results_problem3_v2_final/case_008_2cores/best_result.json.gz
case_008,3,scored,163359,163359,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,8,1.286,results_problem3_v2_final/case_008_3cores/best_plan.json,results_problem3_v2_final/case_008_3cores/best_result.json.gz
case_008,4,scored,123060,123060,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,8,1.886,results_problem3_v2_final/case_008_4cores/best_plan.json,results_problem3_v2_final/case_008_4cores/best_result.json.gz
case_008,5,scored,100603,100603,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,10,4.326,results_problem3_v2_final/case_008_5cores/best_plan.json,results_problem3_v2_final/case_008_5cores/best_result.json.gz
case_009,1,scored,153261,153261,1.000000000,0,0,0,0,,0.000000000,0,495194,0,318,1,3.500,results_problem3_v2_final/case_009_1cores/best_plan.json,results_problem3_v2_final/case_009_1cores/best_result.json.gz
case_009,2,scored,81040,81008,1.000395023,379766,379766,379766,0,,0.216185949,167174,606114,98,667,12,20.876,results_problem3_v2_final/case_009_2cores/best_plan.json,results_problem3_v2_final/case_009_2cores/best_result.json.gz
case_009,3,scored,56020,55873,1.002630967,524498,524498,524498,0,,0.306251526,270866,613590,228,692,12,17.895,results_problem3_v2_final/case_009_3cores/best_plan.json,results_problem3_v2_final/case_009_3cores/best_result.json.gz
case_009,4,scored,43280,42733,1.012800412,686002,686002,686002,0,,0.354141947,356968,651012,315,783,12,17.966,results_problem3_v2_final/case_009_4cores/best_plan.json,results_problem3_v2_final/case_009_4cores/best_result.json.gz
case_009,5,scored,36606,36062,1.015085131,740232,740232,740232,0,,0.419097156,437032,605762,457,686,12,17.535,results_problem3_v2_final/case_009_5cores/best_plan.json,results_problem3_v2_final/case_009_5cores/best_result.json.gz
case_010,1,scored,86969,86969,1.000000000,0,0,0,0,,0.000000000,0,384078,0,93,1,0.607,results_problem3_v2_final/case_010_1cores/best_plan.json,results_problem3_v2_final/case_010_1cores/best_result.json.gz
case_010,2,scored,43413,43413,1.000000000,259252,259252,259252,0,,0.389460880,248448,389480,23,108,12,2.151,results_problem3_v2_final/case_010_2cores/best_plan.json,results_problem3_v2_final/case_010_2cores/best_result.json.gz
case_010,3,scored,29785,29061,1.024913114,263364,263364,263364,0,,0.390551157,252546,394094,29,111,12,2.167,results_problem3_v2_final/case_010_3cores/best_plan.json,results_problem3_v2_final/case_010_3cores/best_result.json.gz
case_010,4,scored,23588,23574,1.000593875,362832,362832,362832,0,,0.411282929,295172,422514,41,120,12,2.172,results_problem3_v2_final/case_010_4cores/best_plan.json,results_problem3_v2_final/case_010_4cores/best_result.json.gz
case_010,5,scored,20917,20796,1.005818427,330976,348260,348260,0,,0.393898810,280582,431738,45,124,12,1.962,results_problem3_v2_final/case_010_5cores/best_plan.json,results_problem3_v2_final/case_010_5cores/best_result.json.gz
case_011,1,scored,184697,184697,1.000000000,0,0,0,0,,0.000000000,0,540672,0,176,1,0.291,results_problem3_v2_final/case_011_1cores/best_plan.json,results_problem3_v2_final/case_011_1cores/best_result.json.gz
case_011,2,scored,92646,92646,1.000000000,180224,180224,180224,0,,0.000000000,0,720896,0,264,6,0.171,results_problem3_v2_final/case_011_2cores/best_plan.json,results_problem3_v2_final/case_011_2cores/best_result.json.gz
case_011,3,scored,62358,62358,1.000000000,888832,888832,888832,0,,0.525373134,720896,651264,247,216,12,3.561,results_problem3_v2_final/case_011_3cores/best_plan.json,results_problem3_v2_final/case_011_3cores/best_result.json.gz
case_011,4,scored,46880,46880,1.000000000,540672,540672,540672,0,,0.000000000,0,1081344,0,440,12,2.953,results_problem3_v2_final/case_011_4cores/best_plan.json,results_problem3_v2_final/case_011_4cores/best_result.json.gz
case_011,5,scored,39706,38015,1.044482441,1071104,1927168,1927168,0,,0.507650765,1155072,1120256,407,322,12,3.650,results_problem3_v2_final/case_011_5cores/best_plan.json,results_problem3_v2_final/case_011_5cores/best_result.json.gz
case_012,1,scored,59088,59088,1.000000000,0,0,0,0,,0.000000000,0,484096,0,251,1,0.665,results_problem3_v2_final/case_012_1cores/best_plan.json,results_problem3_v2_final/case_012_1cores/best_result.json.gz
case_012,2,scored,25755,24883,1.035044006,60120,60120,60120,0,,0.088852544,47808,490252,22,260,12,3.671,results_problem3_v2_final/case_012_2cores/best_plan.json,results_problem3_v2_final/case_012_2cores/best_result.json.gz
case_012,3,scored,17981,17653,1.018580411,124336,124336,124336,0,,0.154601840,91528,500496,52,267,12,4.658,results_problem3_v2_final/case_012_3cores/best_plan.json,results_problem3_v2_final/case_012_3cores/best_result.json.gz
case_012,4,scored,15055,14496,1.038562362,117738,117412,117412,0,,0.118267194,68230,508684,37,269,12,4.519,results_problem3_v2_final/case_012_4cores/best_plan.json,results_problem3_v2_final/case_012_4cores/best_result.json.gz
case_012,5,scored,12960,12132,1.068249258,118056,118056,118056,0,,0.115993756,67468,514184,47,269,12,5.151,results_problem3_v2_final/case_012_5cores/best_plan.json,results_problem3_v2_final/case_012_5cores/best_result.json.gz
case_013,1,scored,263949,263949,1.000000000,0,0,0,0,,0.000000000,0,2023424,0,988,1,1.255,results_problem3_v2_final/case_013_1cores/best_plan.json,results_problem3_v2_final/case_013_1cores/best_result.json.gz
case_013,2,scored,132198,132198,1.000000000,8192,8192,8192,0,,0.000000000,0,2031616,0,992,6,1.434,results_problem3_v2_final/case_013_2cores/best_plan.json,results_problem3_v2_final/case_013_2cores/best_result.json.gz
case_013,3,scored,88351,88351,1.000000000,16384,16384,16384,0,,0.000000000,0,2039808,0,996,8,2.160,results_problem3_v2_final/case_013_3cores/best_plan.json,results_problem3_v2_final/case_013_3cores/best_result.json.gz
case_013,4,scored,66982,66982,1.000000000,24576,24576,24576,0,,0.000000000,0,2048000,0,1000,8,2.939,results_problem3_v2_final/case_013_4cores/best_plan.json,results_problem3_v2_final/case_013_4cores/best_result.json.gz
case_013,5,scored,54363,54363,1.000000000,32768,32768,32768,0,,0.000000000,0,2056192,0,1004,8,4.525,results_problem3_v2_final/case_013_5cores/best_plan.json,results_problem3_v2_final/case_013_5cores/best_result.json.gz
case_014,1,scored,17698626,17689602,1.000510130,71010720,71010720,0,71010720,,0.122910255,9944064,70961016,1801,11987,1,28.810,results_problem3_v2_final/case_014_1cores/best_plan.json,results_problem3_v2_final/case_014_1cores/best_result.json.gz
case_014,2,scored,8897730,8888616,1.001025356,71757240,71757240,9893208,61864032,,0.228080414,18627072,63041808,3666,10488,1,28.690,results_problem3_v2_final/case_014_2cores/best_plan.json,results_problem3_v2_final/case_014_2cores/best_result.json.gz
case_014,3,scored,5985661,5978462,1.001204156,77714952,77714952,18109104,59605848,,0.281707361,24685056,62941536,4711,10246,1,28.821,results_problem3_v2_final/case_014_3cores/best_plan.json,results_problem3_v2_final/case_014_3cores/best_result.json.gz
case_014,4,scored,4518611,4503996,1.003244896,82627992,82627992,29679624,52948368,,0.153171613,14090688,77902128,2792,13414,1,29.945,results_problem3_v2_final/case_014_4cores/best_plan.json,results_problem3_v2_final/case_014_4cores/best_result.json.gz
case_014,5,scored,3665309,3649717,1.004272112,88238376,88238376,36425568,51812808,,0.290882398,28550112,69599904,5526,11462,1,28.512,results_problem3_v2_final/case_014_5cores/best_plan.json,results_problem3_v2_final/case_014_5cores/best_result.json.gz
case_015,1,scored,177362,177362,1.000000000,180256,180256,0,180256,,0.169268598,180224,884498,22,219,1,0.513,results_problem3_v2_final/case_015_1cores/best_plan.json,results_problem3_v2_final/case_015_1cores/best_result.json.gz
case_015,2,scored,85778,83464,1.027724528,858484,504212,405900,98312,,0.294115210,397572,954184,50,250,12,3.883,results_problem3_v2_final/case_015_2cores/best_plan.json,results_problem3_v2_final/case_015_2cores/best_result.json.gz
case_015,3,scored,58187,56817,1.024112502,872116,966312,966312,0,,0.400941330,686600,1025870,74,262,12,4.375,results_problem3_v2_final/case_015_3cores/best_plan.json,results_problem3_v2_final/case_015_3cores/best_result.json.gz
case_015,4,scored,46050,43270,1.064247747,987108,1121236,1121236,0,,0.378283869,697100,1145696,89,275,12,4.951,results_problem3_v2_final/case_015_4cores/best_plan.json,results_problem3_v2_final/case_015_4cores/best_result.json.gz
case_015,5,scored,40816,39127,1.043167122,336384,1438988,1438988,0,,0.491465540,1055782,1092450,135,275,12,4.968,results_problem3_v2_final/case_015_5cores/best_plan.json,results_problem3_v2_final/case_015_5cores/best_result.json.gz
case_016,1,scored,7715523,7715523,1.000000000,0,0,0,0,,0.000000000,0,393216,0,12,1,1.144,results_problem3_v2_final/case_016_1cores/best_plan.json,results_problem3_v2_final/case_016_1cores/best_result.json.gz
case_016,2,scored,4661234,4659199,1.000436770,400528,400528,400528,0,,0.497686334,393216,396872,12,1840,5,1.557,results_problem3_v2_final/case_016_2cores/best_plan.json,results_problem3_v2_final/case_016_2cores/best_result.json.gz
case_016,3,scored,3875557,3871360,1.001084115,402984,402992,402992,0,,0.497679826,393824,397496,316,2152,5,4.771,results_problem3_v2_final/case_016_3cores/best_plan.json,results_problem3_v2_final/case_016_3cores/best_result.json.gz
case_016,4,scored,3380175,3378874,1.000385040,373848,439384,439384,0,,0.517253905,427200,398700,621,2754,5,5.717,results_problem3_v2_final/case_016_4cores/best_plan.json,results_problem3_v2_final/case_016_4cores/best_result.json.gz
case_016,5,scored,2087323,2086359,1.000462049,214900,214900,214900,0,,0.331288712,198432,400538,918,3673,5,6.839,results_problem3_v2_final/case_016_5cores/best_plan.json,results_problem3_v2_final/case_016_5cores/best_result.json.gz
case_017,1,scored,162810,162810,1.000000000,22528,22528,0,22528,,0.040398389,22528,535118,11,257,1,0.762,results_problem3_v2_final/case_017_1cores/best_plan.json,results_problem3_v2_final/case_017_1cores/best_result.json.gz
case_017,2,scored,77061,77061,1.000000000,87552,87552,87552,0,,0.061669905,38400,584270,6,259,12,5.081,results_problem3_v2_final/case_017_2cores/best_plan.json,results_problem3_v2_final/case_017_2cores/best_result.json.gz
case_017,3,scored,49107,48509,1.012327609,314432,314432,314432,0,,0.170544013,138244,672362,42,281,12,5.735,results_problem3_v2_final/case_017_3cores/best_plan.json,results_problem3_v2_final/case_017_3cores/best_result.json.gz
case_017,4,scored,38524,37908,1.016249868,500624,500624,500624,0,,0.130566013,121728,810582,29,281,12,6.411,results_problem3_v2_final/case_017_4cores/best_plan.json,results_problem3_v2_final/case_017_4cores/best_result.json.gz
case_017,5,scored,32877,31310,1.050047908,724872,696160,696160,0,,0.224312090,248846,860528,75,299,12,6.242,results_problem3_v2_final/case_017_5cores/best_plan.json,results_problem3_v2_final/case_017_5cores/best_result.json.gz
case_018,1,scored,1004367,1003110,1.001253103,1970176,1970176,0,1970176,,0.343750316,1224704,2338068,225,549,1,0.484,results_problem3_v2_final/case_018_1cores/best_plan.json,results_problem3_v2_final/case_018_1cores/best_result.json.gz
case_018,2,scored,500068,499531,1.001075008,6304768,6304768,4166656,2138112,,0.260069063,1426432,4058388,263,1030,12,15.814,results_problem3_v2_final/case_018_2cores/best_plan.json,results_problem3_v2_final/case_018_2cores/best_result.json.gz
case_018,3,scored,335187,334741,1.001332373,7473152,7473152,6801408,671744,,0.376545645,2500608,4140308,445,1047,12,19.115,results_problem3_v2_final/case_018_3cores/best_plan.json,results_problem3_v2_final/case_018_3cores/best_result.json.gz
case_018,4,scored,257954,251490,1.025702811,8522240,8678528,8449152,229376,,0.471858690,3715840,4159060,654,1055,12,20.055,results_problem3_v2_final/case_018_4cores/best_plan.json,results_problem3_v2_final/case_018_4cores/best_result.json.gz
case_018,5,scored,208026,200049,1.039875231,4993032,5017608,4599816,417792,,0.549008502,3629056,2981144,621,656,11,10.192,results_problem3_v2_final/case_018_5cores/best_plan.json,results_problem3_v2_final/case_018_5cores/best_result.json.gz
case_019,1,scored,81144,81144,1.000000000,0,0,0,0,,0.000000000,0,179252,0,88,1,0.068,results_problem3_v2_final/case_019_1cores/best_plan.json,results_problem3_v2_final/case_019_1cores/best_result.json.gz
case_019,2,scored,39408,39408,1.000000000,30244,30244,30244,0,,0.130641764,27168,180790,4,90,12,3.563,results_problem3_v2_final/case_019_2cores/best_plan.json,results_problem3_v2_final/case_019_2cores/best_result.json.gz
case_019,3,scored,27240,27016,1.008291383,74824,74824,74824,0,,0.155648151,37952,205880,6,98,12,4.584,results_problem3_v2_final/case_019_3cores/best_plan.json,results_problem3_v2_final/case_019_3cores/best_result.json.gz
case_019,4,scored,20966,20556,1.019945515,224616,224616,224616,0,,0.171308890,56928,275384,9,115,12,4.139,results_problem3_v2_final/case_019_4cores/best_plan.json,results_problem3_v2_final/case_019_4cores/best_result.json.gz
case_019,5,scored,15947,15947,1.000000000,207492,207492,207492,0,,0.258720304,84096,240950,13,108,12,4.820,results_problem3_v2_final/case_019_5cores/best_plan.json,results_problem3_v2_final/case_019_5cores/best_result.json.gz
case_020,1,scored,532746,532746,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,1,0.534,results_problem3_v2_final/case_020_1cores/best_plan.json,results_problem3_v2_final/case_020_1cores/best_result.json.gz
case_020,2,scored,266580,266580,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,6,3.534,results_problem3_v2_final/case_020_2cores/best_plan.json,results_problem3_v2_final/case_020_2cores/best_result.json.gz
case_020,3,scored,177950,177950,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,8,3.910,results_problem3_v2_final/case_020_3cores/best_plan.json,results_problem3_v2_final/case_020_3cores/best_result.json.gz
case_020,4,scored,133704,133704,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,8,4.113,results_problem3_v2_final/case_020_4cores/best_plan.json,results_problem3_v2_final/case_020_4cores/best_result.json.gz
case_020,5,scored,107650,107650,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,8,4.467,results_problem3_v2_final/case_020_5cores/best_plan.json,results_problem3_v2_final/case_020_5cores/best_result.json.gz
case_021,1,scored,6567937,6558837,1.001387441,4501504,4501504,0,4501504,,0.500597372,3432448,3424256,838,711,1,3.563,results_problem3_v2_final/case_021_1cores/best_plan.json,results_problem3_v2_final/case_021_1cores/best_result.json.gz
case_021,2,scored,3193640,3147098,1.014788863,4091904,5115904,1536000,3579904,,0.280590717,1634304,4190208,266,622,12,12.083,results_problem3_v2_final/case_021_2cores/best_plan.json,results_problem3_v2_final/case_021_2cores/best_result.json.gz
case_021,3,scored,2119546,2119160,1.000182148,8863744,8863744,6774784,2088960,,0.557684121,5365760,4255744,1066,648,12,13.461,results_problem3_v2_final/case_021_3cores/best_plan.json,results_problem3_v2_final/case_021_3cores/best_result.json.gz
case_021,4,scored,1552593,1550324,1.001463565,5591040,5591040,5591040,0,,0.301898734,1953792,4517888,318,682,12,12.992,results_problem3_v2_final/case_021_4cores/best_plan.json,results_problem3_v2_final/case_021_4cores/best_result.json.gz
case_021,5,scored,1249670,1241164,1.006853244,11030528,7526400,7526400,0,,0.539689119,5332992,4548608,950,850,12,13.776,results_problem3_v2_final/case_021_5cores/best_plan.json,results_problem3_v2_final/case_021_5cores/best_result.json.gz
case_022,1,scored,56780,56780,1.000000000,0,0,0,0,,0.000000000,0,213540,0,138,1,0.723,results_problem3_v2_final/case_022_1cores/best_plan.json,results_problem3_v2_final/case_022_1cores/best_result.json.gz
case_022,2,scored,28318,28285,1.001166696,37648,37648,37648,0,,0.149820846,37632,213548,18,142,12,4.463,results_problem3_v2_final/case_022_2cores/best_plan.json,results_problem3_v2_final/case_022_2cores/best_result.json.gz
case_022,3,scored,18899,18848,1.002705857,23064,23064,23064,0,,0.097399743,23044,213548,17,142,12,4.165,results_problem3_v2_final/case_022_3cores/best_plan.json,results_problem3_v2_final/case_022_3cores/best_result.json.gz
case_022,4,scored,14372,14372,1.000000000,49968,49968,49968,0,,0.189476401,49924,213560,32,148,12,4.733,results_problem3_v2_final/case_022_4cores/best_plan.json,results_problem3_v2_final/case_022_4cores/best_result.json.gz
case_022,5,scored,11525,11476,1.004269780,20736,20736,20736,0,,0.088510987,20736,213540,9,138,12,4.926,results_problem3_v2_final/case_022_5cores/best_plan.json,results_problem3_v2_final/case_022_5cores/best_result.json.gz
case_023,1,scored,122614,122614,1.000000000,0,0,0,0,,0.000000000,0,434122,0,134,1,0.179,results_problem3_v2_final/case_023_1cores/best_plan.json,results_problem3_v2_final/case_023_1cores/best_result.json.gz
case_023,2,scored,59738,59594,1.002416351,131360,148908,148908,0,,0.161392667,93600,486352,12,140,12,3.738,results_problem3_v2_final/case_023_2cores/best_plan.json,results_problem3_v2_final/case_023_2cores/best_result.json.gz
case_023,3,scored,40728,40676,1.001278395,228948,228948,228948,0,,0.089868454,58944,596948,12,148,12,4.863,results_problem3_v2_final/case_023_3cores/best_plan.json,results_problem3_v2_final/case_023_3cores/best_result.json.gz
case_023,4,scored,32086,32086,1.000000000,331480,331480,331480,0,,0.035162567,26308,721874,15,154,12,6.316,results_problem3_v2_final/case_023_4cores/best_plan.json,results_problem3_v2_final/case_023_4cores/best_result.json.gz
case_023,5,scored,25352,24770,1.023496165,355680,355680,355680,0,,0.127886866,100416,684778,7,147,12,5.679,results_problem3_v2_final/case_023_5cores/best_plan.json,results_problem3_v2_final/case_023_5cores/best_result.json.gz
case_024,1,scored,2555343,2555343,1.000000000,0,0,0,0,,0.000000000,0,393216,0,12,1,2.035,results_problem3_v2_final/case_024_1cores/best_plan.json,results_problem3_v2_final/case_024_1cores/best_result.json.gz
case_024,2,scored,1546201,1543307,1.001875194,396024,396032,396032,0,,0.499106418,393216,394624,12,716,12,22.371,results_problem3_v2_final/case_024_2cores/best_plan.json,results_problem3_v2_final/case_024_2cores/best_result.json.gz
case_024,3,scored,1280881,1276684,1.003287423,396456,396464,396464,0,,0.499223405,393416,394640,112,724,12,26.600,results_problem3_v2_final/case_024_3cores/best_plan.json,results_problem3_v2_final/case_024_3cores/best_result.json.gz
case_024,4,scored,1120991,1116704,1.003838976,495932,528708,528708,0,,0.570490392,524688,395026,216,917,9,8.510,results_problem3_v2_final/case_024_4cores/best_plan.json,results_problem3_v2_final/case_024_4cores/best_result.json.gz
case_024,5,scored,865249,861730,1.004083646,332512,332524,332524,0,,0.453852939,328280,395038,310,923,8,2.416,results_problem3_v2_final/case_024_5cores/best_plan.json,results_problem3_v2_final/case_024_5cores/best_result.json.gz
case_025,1,scored,4863026,4863026,1.000000000,0,0,0,0,,0.000000000,0,4122624,0,2669,1,3.013,results_problem3_v2_final/case_025_1cores/best_plan.json,results_problem3_v2_final/case_025_1cores/best_result.json.gz
case_025,2,scored,2431840,2431840,1.000000000,27648,27648,27648,0,,0.000000000,0,4150272,0,2672,1,2.439,results_problem3_v2_final/case_025_2cores/best_plan.json,results_problem3_v2_final/case_025_2cores/best_result.json.gz
case_025,3,scored,1622164,1622164,1.000000000,55296,55296,55296,0,,0.000000000,0,4177920,0,2675,1,3.084,results_problem3_v2_final/case_025_3cores/best_plan.json,results_problem3_v2_final/case_025_3cores/best_result.json.gz
case_025,4,scored,1217444,1217444,1.000000000,82944,82944,82944,0,,0.000000000,0,4205568,0,2678,1,3.331,results_problem3_v2_final/case_025_4cores/best_plan.json,results_problem3_v2_final/case_025_4cores/best_result.json.gz
