case,cores,status,selected_source,v1_makespan,v2_final_makespan,reduction_cycles,reduction_pct,v1_added_copy_bytes,v2_final_added_copy_bytes,v1_cache_hit_rate,v2_final_cache_hit_rate,additional_official_evaluations
case_005,5,scored,V1_ORIGINAL_UNCHANGED,27941,27941,0,0.000000,1416726,1416726,0.309851974,0.309851974,4
case_006,1,scored,V1_ORIGINAL_UNCHANGED,82837,82837,0,0.000000,16400,16400,0.029275126,0.029275126,0
case_006,2,scored,V1_ORIGINAL_UNCHANGED,38939,38939,0,0.000000,150472,150472,0.216808419,0.216808419,4
case_006,3,scored,V1_ORIGINAL_UNCHANGED,26504,26504,0,0.000000,352612,352612,0.393516152,0.393516152,4
case_006,4,scored,V2_FEEDBACK_SEARCH,20793,20792,1,0.004809,334068,334068,0.380681520,0.380681520,4
case_006,5,scored,V1_ORIGINAL_UNCHANGED,17666,17666,0,0.000000,422428,422428,0.363912537,0.363912537,4
case_007,1,scored,V1_ORIGINAL_UNCHANGED,1012562,1012562,0,0.000000,0,0,0.000000000,0.000000000,0
case_007,2,scored,V1_ORIGINAL_UNCHANGED,507494,507494,0,0.000000,27648,27648,0.000000000,0.000000000,0
case_007,3,scored,V1_ORIGINAL_UNCHANGED,338094,338094,0,0.000000,55296,55296,0.000000000,0.000000000,0
case_007,4,scored,V1_ORIGINAL_UNCHANGED,254398,254398,0,0.000000,82944,82944,0.000000000,0.000000000,0
case_007,5,scored,V1_ORIGINAL_UNCHANGED,203834,203834,0,0.000000,110592,110592,0.000000000,0.000000000,0
case_008,1,scored,V1_ORIGINAL_UNCHANGED,487605,487605,0,0.000000,0,0,0.000000000,0.000000000,0
case_008,2,scored,V1_ORIGINAL_UNCHANGED,244266,244266,0,0.000000,0,0,0.000000000,0.000000000,0
case_008,3,scored,V1_ORIGINAL_UNCHANGED,163359,163359,0,0.000000,0,0,0.000000000,0.000000000,0
case_008,4,scored,V1_ORIGINAL_UNCHANGED,123060,123060,0,0.000000,0,0,0.000000000,0.000000000,0
case_008,5,scored,V1_ORIGINAL_UNCHANGED,100603,100603,0,0.000000,0,0,0.000000000,0.000000000,2
case_009,1,scored,V1_ORIGINAL_UNCHANGED,153261,153261,0,0.000000,0,0,0.000000000,0.000000000,0
case_009,2,scored,V1_ORIGINAL_UNCHANGED,81008,81008,0,0.000000,379766,379766,0.216185949,0.216185949,4
case_009,3,scored,V2_FEEDBACK_SEARCH,55935,55873,62,0.110843,524498,524498,0.279043842,0.306251526,4
case_009,4,scored,V2_FEEDBACK_SEARCH,42828,42733,95,0.221818,686002,686002,0.305379075,0.354141947,4
case_009,5,scored,V1_ORIGINAL_UNCHANGED,36062,36062,0,0.000000,740232,740232,0.419097156,0.419097156,4
case_010,1,scored,V1_ORIGINAL_UNCHANGED,86969,86969,0,0.000000,0,0,0.000000000,0.000000000,0
case_010,2,scored,V1_ORIGINAL_UNCHANGED,43413,43413,0,0.000000,259252,259252,0.389460880,0.389460880,4
case_010,3,scored,V2_FEEDBACK_SEARCH,29785,29061,724,2.430754,263364,263364,0.390551157,0.390551157,4
case_010,4,scored,V1_ORIGINAL_UNCHANGED,23574,23574,0,0.000000,362832,362832,0.411282929,0.411282929,4
case_010,5,scored,V2_FEEDBACK_SEARCH,20799,20796,3,0.014424,348260,348260,0.393898810,0.393898810,4
case_011,1,scored,V1_ORIGINAL_UNCHANGED,184697,184697,0,0.000000,0,0,0.000000000,0.000000000,0
case_011,2,scored,V1_ORIGINAL_UNCHANGED,92646,92646,0,0.000000,180224,180224,0.000000000,0.000000000,0
case_011,3,scored,V1_ORIGINAL_UNCHANGED,62358,62358,0,0.000000,888832,888832,0.525373134,0.525373134,4
case_011,4,scored,V1_ORIGINAL_UNCHANGED,46880,46880,0,0.000000,540672,540672,0.000000000,0.000000000,4
case_011,5,scored,V1_ORIGINAL_UNCHANGED,38015,38015,0,0.000000,1927168,1927168,0.507650765,0.507650765,4
case_012,1,scored,V1_ORIGINAL_UNCHANGED,59088,59088,0,0.000000,0,0,0.000000000,0.000000000,0
case_012,2,scored,V2_FEEDBACK_SEARCH,25147,24883,264,1.049827,60120,60120,0.088852544,0.088852544,4
case_012,3,scored,V2_FEEDBACK_SEARCH,17981,17653,328,1.824148,124336,124336,0.154601840,0.154601840,4
case_012,4,scored,V1_ORIGINAL_UNCHANGED,14496,14496,0,0.000000,117412,117412,0.118267194,0.118267194,4
case_012,5,scored,V2_FEEDBACK_SEARCH,12365,12132,233,1.884351,118056,118056,0.100809419,0.115993756,4
case_013,1,scored,V1_ORIGINAL_UNCHANGED,263949,263949,0,0.000000,0,0,0.000000000,0.000000000,0
case_013,2,scored,V1_ORIGINAL_UNCHANGED,132198,132198,0,0.000000,8192,8192,0.000000000,0.000000000,0
case_013,3,scored,V1_ORIGINAL_UNCHANGED,88351,88351,0,0.000000,16384,16384,0.000000000,0.000000000,0
case_013,4,scored,V1_ORIGINAL_UNCHANGED,66982,66982,0,0.000000,24576,24576,0.000000000,0.000000000,0
case_013,5,scored,V1_ORIGINAL_UNCHANGED,54363,54363,0,0.000000,32768,32768,0.000000000,0.000000000,0
case_014,1,scored,V1_ORIGINAL_UNCHANGED,17689602,17689602,0,0.000000,71010720,71010720,0.122910255,0.122910255,0
case_014,2,scored,V1_ORIGINAL_UNCHANGED,8888616,8888616,0,0.000000,71757240,71757240,0.228080414,0.228080414,0
case_014,3,scored,V1_ORIGINAL_UNCHANGED,5978462,5978462,0,0.000000,77714952,77714952,0.281707361,0.281707361,0
case_014,4,scored,V1_ORIGINAL_UNCHANGED,4503996,4503996,0,0.000000,82627992,82627992,0.153171613,0.153171613,0
case_014,5,scored,V1_ORIGINAL_UNCHANGED,3649717,3649717,0,0.000000,88238376,88238376,0.290882398,0.290882398,0
case_015,1,scored,V1_ORIGINAL_UNCHANGED,177362,177362,0,0.000000,180256,180256,0.169268598,0.169268598,0
case_015,2,scored,V2_FEEDBACK_SEARCH,85554,83464,2090,2.442902,504212,504212,0.294115210,0.294115210,4
case_015,3,scored,V2_FEEDBACK_SEARCH,57691,56817,874,1.514968,966312,966312,0.383599129,0.400941330,4
case_015,4,scored,V2_FEEDBACK_SEARCH,43564,43270,294,0.674869,1121236,1121236,0.396065544,0.378283869,4
case_015,5,scored,V2_FEEDBACK_SEARCH,39462,39127,335,0.848918,1438988,1438988,0.476212066,0.491465540,4
case_016,1,scored,V1_ORIGINAL_UNCHANGED,7715523,7715523,0,0.000000,0,0,0.000000000,0.000000000,0
case_016,2,scored,V1_ORIGINAL_UNCHANGED,4659199,4659199,0,0.000000,400528,400528,0.497686334,0.497686334,0
case_016,3,scored,V1_ORIGINAL_UNCHANGED,3871360,3871360,0,0.000000,402992,402992,0.497679826,0.497679826,0
case_016,4,scored,V1_ORIGINAL_UNCHANGED,3378874,3378874,0,0.000000,439384,439384,0.517253905,0.517253905,0
case_016,5,scored,V1_ORIGINAL_UNCHANGED,2086359,2086359,0,0.000000,214900,214900,0.331288712,0.331288712,0
case_017,1,scored,V1_ORIGINAL_UNCHANGED,162810,162810,0,0.000000,22528,22528,0.040398389,0.040398389,0
case_017,2,scored,V1_ORIGINAL_UNCHANGED,77061,77061,0,0.000000,87552,87552,0.061669905,0.061669905,4
case_017,3,scored,V1_ORIGINAL_UNCHANGED,48509,48509,0,0.000000,314432,314432,0.170544013,0.170544013,4
case_017,4,scored,V2_FEEDBACK_SEARCH,37968,37908,60,0.158028,500624,500624,0.125623451,0.130566013,4
case_017,5,scored,V1_ORIGINAL_UNCHANGED,31310,31310,0,0.000000,696160,696160,0.224312090,0.224312090,4
case_018,1,scored,V1_ORIGINAL_UNCHANGED,1003110,1003110,0,0.000000,1970176,1970176,0.343750316,0.343750316,0
case_018,2,scored,V2_FEEDBACK_SEARCH,499576,499531,45,0.009008,6304768,6304768,0.256335121,0.260069063,4
case_018,3,scored,V1_ORIGINAL_UNCHANGED,334741,334741,0,0.000000,7473152,7473152,0.376545645,0.376545645,4
case_018,4,scored,V2_FEEDBACK_SEARCH,252721,251490,1231,0.487098,8678528,8678528,0.469030464,0.471858690,4
case_018,5,scored,V2_FEEDBACK_SEARCH,206528,200049,6479,3.137105,5017608,5017608,0.543431666,0.549008502,3
case_019,1,scored,V1_ORIGINAL_UNCHANGED,81144,81144,0,0.000000,0,0,0.000000000,0.000000000,0
case_019,2,scored,V1_ORIGINAL_UNCHANGED,39408,39408,0,0.000000,30244,30244,0.130641764,0.130641764,4
case_019,3,scored,V2_FEEDBACK_SEARCH,27240,27016,224,0.822320,74824,74824,0.155648151,0.155648151,4
case_019,4,scored,V2_FEEDBACK_SEARCH,20966,20556,410,1.955547,224616,224616,0.171308890,0.171308890,4
case_019,5,scored,V1_ORIGINAL_UNCHANGED,15947,15947,0,0.000000,207492,207492,0.258720304,0.258720304,4
case_020,1,scored,V1_ORIGINAL_UNCHANGED,532746,532746,0,0.000000,0,0,0.000000000,0.000000000,0
case_020,2,scored,V1_ORIGINAL_UNCHANGED,266580,266580,0,0.000000,0,0,0.000000000,0.000000000,0
case_020,3,scored,V1_ORIGINAL_UNCHANGED,177950,177950,0,0.000000,0,0,0.000000000,0.000000000,0
case_020,4,scored,V1_ORIGINAL_UNCHANGED,133704,133704,0,0.000000,0,0,0.000000000,0.000000000,0
case_020,5,scored,V1_ORIGINAL_UNCHANGED,107650,107650,0,0.000000,0,0,0.000000000,0.000000000,0
case_021,1,scored,V1_ORIGINAL_UNCHANGED,6558837,6558837,0,0.000000,4501504,4501504,0.500597372,0.500597372,0
case_021,2,scored,V2_FEEDBACK_SEARCH,3148081,3147098,983,0.031225,5115904,5115904,0.250000000,0.280590717,4
case_021,3,scored,V2_FEEDBACK_SEARCH,2119212,2119160,52,0.002454,8863744,8863744,0.547467007,0.557684121,4
case_021,4,scored,V2_FEEDBACK_SEARCH,1552549,1550324,2225,0.143313,5591040,5591040,0.313291139,0.301898734,4
case_021,5,scored,V1_ORIGINAL_UNCHANGED,1241164,1241164,0,0.000000,7526400,7526400,0.539689119,0.539689119,4
case_022,1,scored,V1_ORIGINAL_UNCHANGED,56780,56780,0,0.000000,0,0,0.000000000,0.000000000,0
case_022,2,scored,V2_FEEDBACK_SEARCH,28318,28285,33,0.116534,37648,37648,0.149820846,0.149820846,4
case_022,3,scored,V2_FEEDBACK_SEARCH,18899,18848,51,0.269856,23064,23064,0.097399743,0.097399743,4
case_022,4,scored,V1_ORIGINAL_UNCHANGED,14372,14372,0,0.000000,49968,49968,0.189476401,0.189476401,4
case_022,5,scored,V1_ORIGINAL_UNCHANGED,11476,11476,0,0.000000,20736,20736,0.088510987,0.088510987,4
case_023,1,scored,V1_ORIGINAL_UNCHANGED,122614,122614,0,0.000000,0,0,0.000000000,0.000000000,0
case_023,2,scored,V1_ORIGINAL_UNCHANGED,59594,59594,0,0.000000,148908,148908,0.161392667,0.161392667,4
case_023,3,scored,V2_FEEDBACK_SEARCH,40728,40676,52,0.127676,228948,228948,0.089868454,0.089868454,4
case_023,4,scored,V1_ORIGINAL_UNCHANGED,32086,32086,0,0.000000,331480,331480,0.035162567,0.035162567,4
case_023,5,scored,V2_FEEDBACK_SEARCH,25352,24770,582,2.295677,355680,355680,0.127886866,0.127886866,4
case_024,1,scored,V1_ORIGINAL_UNCHANGED,2555343,2555343,0,0.000000,0,0,0.000000000,0.000000000,0
case_024,2,scored,V1_ORIGINAL_UNCHANGED,1543307,1543307,0,0.000000,396032,396032,0.499106418,0.499106418,4
case_024,3,scored,V1_ORIGINAL_UNCHANGED,1276684,1276684,0,0.000000,396464,396464,0.499223405,0.499223405,4
case_024,4,scored,V1_ORIGINAL_UNCHANGED,1116704,1116704,0,0.000000,528708,528708,0.570490392,0.570490392,1
case_024,5,scored,V1_ORIGINAL_UNCHANGED,861730,861730,0,0.000000,332524,332524,0.453852939,0.453852939,0
case_025,1,scored,V1_ORIGINAL_UNCHANGED,4863026,4863026,0,0.000000,0,0,0.000000000,0.000000000,0
case_025,2,scored,V1_ORIGINAL_UNCHANGED,2431840,2431840,0,0.000000,27648,27648,0.000000000,0.000000000,0
case_025,3,scored,V1_ORIGINAL_UNCHANGED,1622164,1622164,0,0.000000,55296,55296,0.000000000,0.000000000,0
case_025,4,scored,V1_ORIGINAL_UNCHANGED,1217444,1217444,0,0.000000,82944,82944,0.000000000,0.000000000,0
case_025,5,scored,V1_ORIGINAL_UNCHANGED,975282,975282,0,0.000000,110592,110592,0.000000000,0.000000000,0
case_026,1,scored,V1_ORIGINAL_UNCHANGED,99203,99203,0,0.000000,0,0,0.000000000,0.000000000,0
case_026,2,scored,V2_FEEDBACK_SEARCH,49119,47477,1642,3.342902,169436,169436,0.257317333,0.257317333,4
case_026,3,scored,V2_FEEDBACK_SEARCH,35351,35169,182,0.514837,612992,612992,0.430399081,0.430399081,4
case_026,4,scored,V2_FEEDBACK_SEARCH,25696,25618,78,0.303549,471672,471672,0.303104904,0.313543749,4
case_026,5,scored,V1_ORIGINAL_UNCHANGED,22583,22583,0,0.000000,517176,517176,0.306877846,0.306877846,4
case_027,1,scored,V1_ORIGINAL_UNCHANGED,2359515,2359515,0,0.000000,1400832,1400832,0.268939394,0.268939394,0
case_027,2,scored,V1_ORIGINAL_UNCHANGED,1115722,1115722,0,0.000000,1105920,1105920,0.000000000,0.000000000,4
case_027,3,scored,V1_ORIGINAL_UNCHANGED,747265,747265,0,0.000000,8491008,8491008,0.287385845,0.287385845,4
case_027,4,scored,V1_ORIGINAL_UNCHANGED,559196,559196,0,0.000000,3317760,3317760,0.000000000,0.000000000,4
case_027,5,scored,V1_ORIGINAL_UNCHANGED,450393,450393,0,0.000000,11208704,11208704,0.289504305,0.289504305,4
case_028,1,scored,V1_ORIGINAL_UNCHANGED,43836040,43836040,0,0.000000,277412256,277412256,0.000000000,0.000000000,0
case_028,2,scored,V1_ORIGINAL_UNCHANGED,20996827,20996827,0,0.000000,203536512,203536512,0.806558243,0.806558243,0
case_028,3,scored,V1_ORIGINAL_UNCHANGED,14736544,14736544,0,0.000000,257422848,257422848,0.310961168,0.310961168,0
case_028,4,scored,V1_ORIGINAL_UNCHANGED,10364274,10364274,0,0.000000,173640576,173640576,0.908517338,0.908517338,0
case_028,5,scored,V1_ORIGINAL_UNCHANGED,8374114,8374114,0,0.000000,176191488,176191488,0.891816620,0.891816620,0
case_029,1,scored,V1_ORIGINAL_UNCHANGED,37555,37555,0,0.000000,0,0,0.000000000,0.000000000,0
case_029,2,scored,V1_ORIGINAL_UNCHANGED,19740,19740,0,0.000000,0,0,0.000000000,0.000000000,2
case_029,3,scored,V1_ORIGINAL_UNCHANGED,12743,12743,0,0.000000,0,0,0.000000000,0.000000000,0
case_029,4,scored,V1_ORIGINAL_UNCHANGED,10206,10206,0,0.000000,92280,92280,0.263049733,0.263049733,4
case_029,5,scored,V1_ORIGINAL_UNCHANGED,8689,8689,0,0.000000,159952,159952,0.382180966,0.382180966,4
case_030,1,scored,V1_ORIGINAL_UNCHANGED,2807891,2807891,0,0.000000,5519360,5519360,0.259867995,0.259867995,0
case_030,2,scored,V1_ORIGINAL_UNCHANGED,1398912,1398912,0,0.000000,6877184,6877184,0.415221474,0.415221474,0
case_030,3,scored,V1_ORIGINAL_UNCHANGED,932283,932283,0,0.000000,8949248,8949248,0.521419221,0.521419221,0
case_030,4,scored,V1_ORIGINAL_UNCHANGED,698674,698674,0,0.000000,7811072,7811072,0.529453086,0.529453086,0
case_030,5,scored,V1_ORIGINAL_UNCHANGED,560766,560766,0,0.000000,10660864,10660864,0.552008158,0.552008158,0
case_031,1,scored,V1_ORIGINAL_UNCHANGED,1414159,1414159,0,0.000000,3491328,3491328,0.260593628,0.260593628,0
case_031,2,scored,V1_ORIGINAL_UNCHANGED,704615,704615,0,0.000000,6050214,6050214,0.267428087,0.267428087,4
case_031,3,scored,V1_ORIGINAL_UNCHANGED,468744,468744,0,0.000000,9956524,9956524,0.296405655,0.296405655,4
case_031,4,scored,V2_FEEDBACK_SEARCH,351511,351367,144,0.040966,13432720,13432720,0.380486739,0.382769904,4
case_031,5,scored,V2_FEEDBACK_SEARCH,286691,285331,1360,0.474378,7924224,7924224,0.492143866,0.505514864,4
case_032,1,scored,V1_ORIGINAL_UNCHANGED,41443,41443,0,0.000000,0,0,0.000000000,0.000000000,0
case_032,2,scored,V1_ORIGINAL_UNCHANGED,17551,17551,0,0.000000,71832,71832,0.204451942,0.204451942,4
case_032,3,scored,V1_ORIGINAL_UNCHANGED,11925,11925,0,0.000000,12364,12364,0.042398754,0.042398754,4
case_032,4,scored,V1_ORIGINAL_UNCHANGED,9786,9786,0,0.000000,20636,20636,0.061964201,0.061964201,4
case_032,5,scored,V1_ORIGINAL_UNCHANGED,8645,8645,0,0.000000,143652,143652,0.320125658,0.320125658,4
case_033,1,scored,V1_ORIGINAL_UNCHANGED,1774080,1774080,0,0.000000,4592640,4592640,0.096276924,0.096276924,0
case_033,2,scored,V1_ORIGINAL_UNCHANGED,890312,890312,0,0.000000,6650400,6650400,0.193241380,0.193241380,0
case_033,3,scored,V1_ORIGINAL_UNCHANGED,590881,590881,0,0.000000,13754464,13754464,0.198417295,0.198417295,4
case_033,4,scored,V2_FEEDBACK_SEARCH,440231,439769,462,0.104945,13313664,13313664,0.170606231,0.173513304,4
case_033,5,scored,V2_FEEDBACK_SEARCH,356178,355538,640,0.179685,7197316,7197316,0.529068978,0.525411700,4
case_034,1,scored,V1_ORIGINAL_UNCHANGED,842733,842733,0,0.000000,1079832,1079832,0.309046599,0.309046599,0
case_034,2,scored,V1_ORIGINAL_UNCHANGED,417538,417538,0,0.000000,1651200,1651200,0.411820968,0.411820968,0
case_034,3,scored,V1_ORIGINAL_UNCHANGED,278366,278366,0,0.000000,5531744,5531744,0.343250094,0.343250094,4
case_034,4,scored,V1_ORIGINAL_UNCHANGED,208686,208686,0,0.000000,6320776,6320776,0.339104748,0.339104748,4
case_034,5,scored,V1_ORIGINAL_UNCHANGED,169761,169761,0,0.000000,7233216,7233216,0.381653567,0.381653567,4
case_035,1,scored,V1_ORIGINAL_UNCHANGED,169571,169571,0,0.000000,0,0,0.000000000,0.000000000,0
case_035,2,scored,V1_ORIGINAL_UNCHANGED,92356,92356,0,0.000000,319022,319022,0.153028774,0.153028774,4
case_035,3,scored,V1_ORIGINAL_UNCHANGED,62943,62943,0,0.000000,475492,475492,0.288117643,0.288117643,4
case_035,4,scored,V1_ORIGINAL_UNCHANGED,48316,48316,0,0.000000,663552,663552,0.338574898,0.338574898,4
case_035,5,scored,V2_FEEDBACK_SEARCH,40706,40288,418,1.026876,710220,710220,0.408511788,0.408507396,4
case_036,1,scored,V1_ORIGINAL_UNCHANGED,931510,931510,0,0.000000,0,0,0.000000000,0.000000000,0
case_036,2,scored,V1_ORIGINAL_UNCHANGED,466068,466068,0,0.000000,1152,1152,0.000000000,0.000000000,0
case_036,3,scored,V1_ORIGINAL_UNCHANGED,311345,311345,0,0.000000,2304,2304,0.000000000,0.000000000,0
case_036,4,scored,V1_ORIGINAL_UNCHANGED,233584,233584,0,0.000000,3456,3456,0.000000000,0.000000000,0
case_036,5,scored,V1_ORIGINAL_UNCHANGED,187182,187182,0,0.000000,4608,4608,0.000000000,0.000000000,0
case_037,1,scored,V1_ORIGINAL_UNCHANGED,210001,210001,0,0.000000,0,0,0.000000000,0.000000000,0
case_037,2,scored,V1_ORIGINAL_UNCHANGED,105374,105374,0,0.000000,204800,204800,0.000000000,0.000000000,0
case_037,3,scored,V1_ORIGINAL_UNCHANGED,70894,70894,0,0.000000,1069056,1069056,0.266339869,0.266339869,4
case_037,4,scored,V1_ORIGINAL_UNCHANGED,53320,53320,0,0.000000,614400,614400,0.000000000,0.000000000,4
case_037,5,scored,V1_ORIGINAL_UNCHANGED,43013,43013,0,0.000000,1445888,1445888,0.423366834,0.423366834,4
case_038,1,scored,V1_ORIGINAL_UNCHANGED,1363312,1363312,0,0.000000,5627904,5627904,0.173616815,0.173616815,0
case_038,2,scored,V2_FEEDBACK_SEARCH,671734,671690,44,0.006550,4807680,4807680,0.223039263,0.224077863,4
case_038,3,scored,V2_FEEDBACK_SEARCH,446710,446506,204,0.045667,7970816,7970816,0.444418332,0.441306482,4
case_038,4,scored,V1_ORIGINAL_UNCHANGED,338262,338262,0,0.000000,9618944,9618944,0.468916953,0.468916953,4
case_038,5,scored,V2_FEEDBACK_SEARCH,272099,272055,44,0.016171,11258368,11258368,0.533669726,0.532232320,4
case_039,1,scored,V1_ORIGINAL_UNCHANGED,1435262,1435262,0,0.000000,7929856,7929856,0.000000000,0.000000000,0
case_039,2,scored,V1_ORIGINAL_UNCHANGED,690740,690740,0,0.000000,4431872,4431872,0.350000000,0.350000000,4
case_039,3,scored,V1_ORIGINAL_UNCHANGED,461028,461028,0,0.000000,5701632,5701632,0.260000000,0.260000000,4
case_039,4,scored,V1_ORIGINAL_UNCHANGED,348018,348018,0,0.000000,9986048,9986048,0.476656872,0.476656872,4
case_039,5,scored,V1_ORIGINAL_UNCHANGED,279353,279353,0,0.000000,11583488,11583488,0.559408755,0.559408755,4
case_040,1,scored,V1_ORIGINAL_UNCHANGED,253454,253454,0,0.000000,0,0,0.000000000,0.000000000,0
case_040,2,scored,V2_FEEDBACK_SEARCH,132943,132193,750,0.564152,452754,452754,0.132953687,0.136308903,4
case_040,3,scored,V2_FEEDBACK_SEARCH,90251,90242,9,0.009972,1265744,1265744,0.370798282,0.370798282,4
case_040,4,scored,V2_FEEDBACK_SEARCH,70016,69488,528,0.754113,1405678,1405678,0.388238959,0.389797573,4
case_040,5,scored,V1_ORIGINAL_UNCHANGED,57774,57774,0,0.000000,1897242,1897242,0.372439523,0.372439523,4
case_041,1,scored,V1_ORIGINAL_UNCHANGED,6001575,6001575,0,0.000000,30898176,30898176,0.101636815,0.101636815,0
case_041,2,scored,V1_ORIGINAL_UNCHANGED,2965687,2965687,0,0.000000,49489160,49489160,0.100170986,0.100170986,4
case_041,3,scored,V1_ORIGINAL_UNCHANGED,1992248,1992248,0,0.000000,56698112,56698112,0.250881264,0.250881264,4
case_041,4,scored,V1_ORIGINAL_UNCHANGED,1503434,1503434,0,0.000000,46354704,46354704,0.204340022,0.204340022,4
case_041,5,scored,V1_ORIGINAL_UNCHANGED,1199720,1199720,0,0.000000,38206464,38206464,0.236902050,0.236902050,0
case_042,1,scored,V1_ORIGINAL_UNCHANGED,1675633,1675633,0,0.000000,6629376,6629376,0.318691758,0.318691758,0
case_042,2,scored,V2_FEEDBACK_SEARCH,854134,851098,3036,0.355448,11024024,11024024,0.072838148,0.073204610,4
case_042,3,scored,V2_FEEDBACK_SEARCH,567466,564999,2467,0.434740,15933108,15933108,0.400753931,0.400753931,4
case_042,4,scored,V1_ORIGINAL_UNCHANGED,431543,431543,0,0.000000,8179560,8179560,0.318993967,0.318993967,4
case_042,5,scored,V2_FEEDBACK_SEARCH,342617,339141,3476,1.014544,9994092,10147692,0.443319276,0.434419171,4
case_043,1,scored,V1_ORIGINAL_UNCHANGED,677656,677656,0,0.000000,49160,49160,0.033207400,0.033207400,0
case_043,2,scored,V1_ORIGINAL_UNCHANGED,343112,343112,0,0.000000,1892732,1892732,0.353692597,0.353692597,4
case_043,3,scored,V2_FEEDBACK_SEARCH,231143,231089,54,0.023362,3228256,3228256,0.476892039,0.474025683,4
case_043,4,scored,V1_ORIGINAL_UNCHANGED,175177,175177,0,0.000000,4040330,4040330,0.471937718,0.471937718,4
case_043,5,scored,V1_ORIGINAL_UNCHANGED,144127,144127,0,0.000000,4991280,4991280,0.520173189,0.520173189,4
case_044,1,scored,V1_ORIGINAL_UNCHANGED,107814,107814,0,0.000000,4438112,4438112,0.819988572,0.819988572,0
case_044,2,scored,V1_ORIGINAL_UNCHANGED,57481,57481,0,0.000000,938336,938336,0.259656143,0.259656143,4
case_044,3,scored,V2_FEEDBACK_SEARCH,59964,55400,4564,7.611233,3960768,3959744,0.501853864,0.656205336,4
case_044,4,scored,V1_ORIGINAL_UNCHANGED,66844,66844,0,0.000000,4886048,4886048,0.450630392,0.450630392,4
case_044,5,scored,V2_FEEDBACK_SEARCH,75695,74396,1299,1.716097,5840864,5840864,0.786206472,0.812084126,4
case_045,1,scored,V1_ORIGINAL_UNCHANGED,125614,125614,0,0.000000,0,0,0.000000000,0.000000000,0
case_045,2,scored,V1_ORIGINAL_UNCHANGED,63059,63059,0,0.000000,0,0,0.000000000,0.000000000,0
case_045,3,scored,V1_ORIGINAL_UNCHANGED,42601,42601,0,0.000000,0,0,0.000000000,0.000000000,2
case_045,4,scored,V1_ORIGINAL_UNCHANGED,31878,31878,0,0.000000,0,0,0.000000000,0.000000000,0
