case,cores,status,no_l2_makespan,cache_makespan,l2_relative_speedup,no_l2_added_copy_bytes,cache_added_copy_bytes,cache_partition_added_copy_bytes,cache_spill_added_copy_bytes,no_l2_cache_hit_rate,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_misses,official_evals,solver_seconds,plan_file,result_file
case_005,4,scored,31896,30360,1.050592885,1187408,1211728,1211728,0,,0.331656571,381614,769016,220,419,8,28.041,results_problem3/case_005_4cores/best_plan.json,results_problem3/case_005_4cores/best_result.json.gz
case_005,5,scored,32002,27941,1.145341971,1405080,1416726,1416726,0,,0.309851974,397462,885286,282,442,8,32.060,results_problem3/case_005_5cores/best_plan.json,results_problem3/case_005_5cores/best_result.json.gz
case_006,1,scored,82837,82837,1.000000000,16400,16400,0,16400,,0.029275126,16384,543272,9,135,1,1.370,results_problem3/case_006_1cores/best_plan.json,results_problem3/case_006_1cores/best_result.json.gz
case_006,2,scored,38939,38939,1.000000000,150472,150472,150472,0,,0.216808419,150400,543300,25,149,8,6.267,results_problem3/case_006_2cores/best_plan.json,results_problem3/case_006_2cores/best_result.json.gz
case_006,3,scored,26530,26504,1.000980984,352612,352612,352612,0,,0.393516152,352522,543304,55,151,8,6.817,results_problem3/case_006_3cores/best_plan.json,results_problem3/case_006_3cores/best_result.json.gz
case_006,4,scored,21219,20793,1.020487664,317704,334068,334068,0,,0.380681520,333962,543312,53,155,8,7.160,results_problem3/case_006_4cores/best_plan.json,results_problem3/case_006_4cores/best_result.json.gz
case_006,5,scored,19260,17666,1.090229820,422428,422428,422428,0,,0.363912537,349070,610144,48,177,8,7.371,results_problem3/case_006_5cores/best_plan.json,results_problem3/case_006_5cores/best_result.json.gz
case_007,1,scored,1012562,1012562,1.000000000,0,0,0,0,,0.000000000,0,880128,0,558,1,6.796,results_problem3/case_007_1cores/best_plan.json,results_problem3/case_007_1cores/best_result.json.gz
case_007,2,scored,507494,507494,1.000000000,27648,27648,27648,0,,0.000000000,0,907776,0,561,6,21.787,results_problem3/case_007_2cores/best_plan.json,results_problem3/case_007_2cores/best_result.json.gz
case_007,3,scored,338094,338094,1.000000000,55296,55296,55296,0,,0.000000000,0,935424,0,564,8,26.799,results_problem3/case_007_3cores/best_plan.json,results_problem3/case_007_3cores/best_result.json.gz
case_007,4,scored,254398,254398,1.000000000,82944,82944,82944,0,,0.000000000,0,963072,0,567,8,26.137,results_problem3/case_007_4cores/best_plan.json,results_problem3/case_007_4cores/best_result.json.gz
case_007,5,scored,203834,203834,1.000000000,110592,110592,110592,0,,0.000000000,0,990720,0,570,8,26.800,results_problem3/case_007_5cores/best_plan.json,results_problem3/case_007_5cores/best_result.json.gz
case_008,1,scored,487605,487605,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,1,1.936,results_problem3/case_008_1cores/best_plan.json,results_problem3/case_008_1cores/best_result.json.gz
case_008,2,scored,244266,244266,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,6,6.205,results_problem3/case_008_2cores/best_plan.json,results_problem3/case_008_2cores/best_result.json.gz
case_008,3,scored,163359,163359,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,8,8.824,results_problem3/case_008_3cores/best_plan.json,results_problem3/case_008_3cores/best_result.json.gz
case_008,4,scored,123060,123060,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,8,9.486,results_problem3/case_008_4cores/best_plan.json,results_problem3/case_008_4cores/best_result.json.gz
case_008,5,scored,100603,100603,1.000000000,0,0,0,0,,0.000000000,0,1990872,0,432,8,9.492,results_problem3/case_008_5cores/best_plan.json,results_problem3/case_008_5cores/best_result.json.gz
case_009,1,scored,153261,153261,1.000000000,0,0,0,0,,0.000000000,0,495194,0,318,1,10.270,results_problem3/case_009_1cores/best_plan.json,results_problem3/case_009_1cores/best_result.json.gz
case_009,2,scored,81040,81008,1.000395023,379766,379766,379766,0,,0.216185949,167174,606114,98,667,8,44.962,results_problem3/case_009_2cores/best_plan.json,results_problem3/case_009_2cores/best_result.json.gz
case_009,3,scored,56020,55935,1.001519621,524498,524498,524498,0,,0.279043842,246802,637654,226,694,8,47.615,results_problem3/case_009_3cores/best_plan.json,results_problem3/case_009_3cores/best_result.json.gz
case_009,4,scored,43280,42828,1.010553843,686002,686002,686002,0,,0.305379075,307816,700164,309,789,8,48.525,results_problem3/case_009_4cores/best_plan.json,results_problem3/case_009_4cores/best_result.json.gz
case_009,5,scored,36606,36062,1.015085131,740232,740232,740232,0,,0.419097156,437032,605762,457,686,8,49.120,results_problem3/case_009_5cores/best_plan.json,results_problem3/case_009_5cores/best_result.json.gz
case_010,1,scored,86969,86969,1.000000000,0,0,0,0,,0.000000000,0,384078,0,93,1,0.745,results_problem3/case_010_1cores/best_plan.json,results_problem3/case_010_1cores/best_result.json.gz
case_010,2,scored,43413,43413,1.000000000,259252,259252,259252,0,,0.389460880,248448,389480,23,108,8,6.136,results_problem3/case_010_2cores/best_plan.json,results_problem3/case_010_2cores/best_result.json.gz
case_010,3,scored,29785,29785,1.000000000,263364,263364,263364,0,,0.390551157,252546,394094,29,111,8,6.547,results_problem3/case_010_3cores/best_plan.json,results_problem3/case_010_3cores/best_result.json.gz
case_010,4,scored,23588,23574,1.000593875,362832,362832,362832,0,,0.411282929,295172,422514,41,120,8,4.832,results_problem3/case_010_4cores/best_plan.json,results_problem3/case_010_4cores/best_result.json.gz
case_010,5,scored,20917,20799,1.005673350,330976,348260,348260,0,,0.393898810,280582,431738,45,124,8,6.655,results_problem3/case_010_5cores/best_plan.json,results_problem3/case_010_5cores/best_result.json.gz
case_011,1,scored,184697,184697,1.000000000,0,0,0,0,,0.000000000,0,540672,0,176,1,1.234,results_problem3/case_011_1cores/best_plan.json,results_problem3/case_011_1cores/best_result.json.gz
case_011,2,scored,92646,92646,1.000000000,180224,180224,180224,0,,0.000000000,0,720896,0,264,6,4.581,results_problem3/case_011_2cores/best_plan.json,results_problem3/case_011_2cores/best_result.json.gz
case_011,3,scored,62358,62358,1.000000000,888832,888832,888832,0,,0.525373134,720896,651264,247,216,8,8.484,results_problem3/case_011_3cores/best_plan.json,results_problem3/case_011_3cores/best_result.json.gz
case_011,4,scored,46880,46880,1.000000000,540672,540672,540672,0,,0.000000000,0,1081344,0,440,8,7.494,results_problem3/case_011_4cores/best_plan.json,results_problem3/case_011_4cores/best_result.json.gz
case_011,5,scored,39706,38015,1.044482441,1071104,1927168,1927168,0,,0.507650765,1155072,1120256,407,322,8,9.674,results_problem3/case_011_5cores/best_plan.json,results_problem3/case_011_5cores/best_result.json.gz
case_012,1,scored,59088,59088,1.000000000,0,0,0,0,,0.000000000,0,484096,0,251,1,1.813,results_problem3/case_012_1cores/best_plan.json,results_problem3/case_012_1cores/best_result.json.gz
case_012,2,scored,25755,25147,1.024177834,60120,60120,60120,0,,0.088852544,47808,490252,22,260,8,9.005,results_problem3/case_012_2cores/best_plan.json,results_problem3/case_012_2cores/best_result.json.gz
case_012,3,scored,17981,17981,1.000000000,124336,124336,124336,0,,0.154601840,91528,500496,52,267,8,10.400,results_problem3/case_012_3cores/best_plan.json,results_problem3/case_012_3cores/best_result.json.gz
case_012,4,scored,15055,14496,1.038562362,117738,117412,117412,0,,0.118267194,68230,508684,37,269,8,10.200,results_problem3/case_012_4cores/best_plan.json,results_problem3/case_012_4cores/best_result.json.gz
case_012,5,scored,12960,12365,1.048119693,118056,118056,118056,0,,0.100809419,58636,523016,48,268,8,10.582,results_problem3/case_012_5cores/best_plan.json,results_problem3/case_012_5cores/best_result.json.gz
case_013,1,scored,263949,263949,1.000000000,0,0,0,0,,0.000000000,0,2023424,0,988,1,4.539,results_problem3/case_013_1cores/best_plan.json,results_problem3/case_013_1cores/best_result.json.gz
case_013,2,scored,132198,132198,1.000000000,8192,8192,8192,0,,0.000000000,0,2031616,0,992,6,14.854,results_problem3/case_013_2cores/best_plan.json,results_problem3/case_013_2cores/best_result.json.gz
case_013,3,scored,88351,88351,1.000000000,16384,16384,16384,0,,0.000000000,0,2039808,0,996,8,18.492,results_problem3/case_013_3cores/best_plan.json,results_problem3/case_013_3cores/best_result.json.gz
case_013,4,scored,66982,66982,1.000000000,24576,24576,24576,0,,0.000000000,0,2048000,0,1000,8,18.362,results_problem3/case_013_4cores/best_plan.json,results_problem3/case_013_4cores/best_result.json.gz
case_013,5,scored,54363,54363,1.000000000,32768,32768,32768,0,,0.000000000,0,2056192,0,1004,8,18.446,results_problem3/case_013_5cores/best_plan.json,results_problem3/case_013_5cores/best_result.json.gz
case_014,1,scored,17698626,17689602,1.000510130,71010720,71010720,0,71010720,,0.122910255,9944064,70961016,1801,11987,1,73.777,results_problem3/case_014_1cores/best_plan.json,results_problem3/case_014_1cores/best_result.json.gz
case_014,2,scored,8897730,8888616,1.001025356,71757240,71757240,9893208,61864032,,0.228080414,18627072,63041808,3666,10488,1,198.262,results_problem3/case_014_2cores/best_plan.json,results_problem3/case_014_2cores/best_result.json.gz
case_014,3,scored,5985661,5978462,1.001204156,77714952,77714952,18109104,59605848,,0.281707361,24685056,62941536,4711,10246,1,31.317,results_problem3/case_014_3cores/best_plan.json,results_problem3/case_014_3cores/best_result.json.gz
case_014,4,scored,4518611,4503996,1.003244896,82627992,82627992,29679624,52948368,,0.153171613,14090688,77902128,2792,13414,1,34.129,results_problem3/case_014_4cores/best_plan.json,results_problem3/case_014_4cores/best_result.json.gz
case_014,5,scored,3665309,3649717,1.004272112,88238376,88238376,36425568,51812808,,0.290882398,28550112,69599904,5526,11462,1,32.038,results_problem3/case_014_5cores/best_plan.json,results_problem3/case_014_5cores/best_result.json.gz
case_015,1,scored,177362,177362,1.000000000,180256,180256,0,180256,,0.169268598,180224,884498,22,219,1,1.421,results_problem3/case_015_1cores/best_plan.json,results_problem3/case_015_1cores/best_result.json.gz
case_015,2,scored,85778,85554,1.002618229,858484,504212,405900,98312,,0.294115210,397572,954184,50,250,8,8.522,results_problem3/case_015_2cores/best_plan.json,results_problem3/case_015_2cores/best_result.json.gz
case_015,3,scored,58187,57691,1.008597528,872116,966312,966312,0,,0.383599129,656902,1055568,73,263,8,9.397,results_problem3/case_015_3cores/best_plan.json,results_problem3/case_015_3cores/best_result.json.gz
case_015,4,scored,46050,43564,1.057065467,987108,1121236,1121236,0,,0.396065544,729868,1112928,90,274,8,9.956,results_problem3/case_015_4cores/best_plan.json,results_problem3/case_015_4cores/best_result.json.gz
case_015,5,scored,40816,39462,1.034311490,336384,1438988,1438988,0,,0.476212066,1023014,1125218,134,276,8,9.153,results_problem3/case_015_5cores/best_plan.json,results_problem3/case_015_5cores/best_result.json.gz
case_016,1,scored,7715523,7715523,1.000000000,0,0,0,0,,0.000000000,0,393216,0,12,1,47.705,results_problem3/case_016_1cores/best_plan.json,results_problem3/case_016_1cores/best_result.json.gz
case_016,2,scored,4661234,4659199,1.000436770,400528,400528,400528,0,,0.497686334,393216,396872,12,1840,5,120.634,results_problem3/case_016_2cores/best_plan.json,results_problem3/case_016_2cores/best_result.json.gz
case_016,3,scored,3875557,3871360,1.001084115,402984,402992,402992,0,,0.497679826,393824,397496,316,2152,5,124.337,results_problem3/case_016_3cores/best_plan.json,results_problem3/case_016_3cores/best_result.json.gz
case_016,4,scored,3380175,3378874,1.000385040,373848,439384,439384,0,,0.517253905,427200,398700,621,2754,5,123.383,results_problem3/case_016_4cores/best_plan.json,results_problem3/case_016_4cores/best_result.json.gz
case_016,5,scored,2087323,2086359,1.000462049,214900,214900,214900,0,,0.331288712,198432,400538,918,3673,5,136.633,results_problem3/case_016_5cores/best_plan.json,results_problem3/case_016_5cores/best_result.json.gz
case_017,1,scored,162810,162810,1.000000000,22528,22528,0,22528,,0.040398389,22528,535118,11,257,1,1.988,results_problem3/case_017_1cores/best_plan.json,results_problem3/case_017_1cores/best_result.json.gz
case_017,2,scored,77061,77061,1.000000000,87552,87552,87552,0,,0.061669905,38400,584270,6,259,8,9.784,results_problem3/case_017_2cores/best_plan.json,results_problem3/case_017_2cores/best_result.json.gz
case_017,3,scored,49107,48509,1.012327609,314432,314432,314432,0,,0.170544013,138244,672362,42,281,8,11.320,results_problem3/case_017_3cores/best_plan.json,results_problem3/case_017_3cores/best_result.json.gz
case_017,4,scored,38524,37968,1.014643911,500624,500624,500624,0,,0.125623451,117120,815190,28,282,8,10.877,results_problem3/case_017_4cores/best_plan.json,results_problem3/case_017_4cores/best_result.json.gz
case_017,5,scored,32877,31310,1.050047908,724872,696160,696160,0,,0.224312090,248846,860528,75,299,8,13.442,results_problem3/case_017_5cores/best_plan.json,results_problem3/case_017_5cores/best_result.json.gz
case_018,1,scored,1004367,1003110,1.001253103,1970176,1970176,0,1970176,,0.343750316,1224704,2338068,225,549,1,3.410,results_problem3/case_018_1cores/best_plan.json,results_problem3/case_018_1cores/best_result.json.gz
case_018,2,scored,500068,499576,1.000984835,6304768,6304768,4166656,2138112,,0.256335121,1405952,4078868,258,1035,8,29.490,results_problem3/case_018_2cores/best_plan.json,results_problem3/case_018_2cores/best_result.json.gz
case_018,3,scored,335187,334741,1.001332373,7473152,7473152,6801408,671744,,0.376545645,2500608,4140308,445,1047,8,32.283,results_problem3/case_018_3cores/best_plan.json,results_problem3/case_018_3cores/best_result.json.gz
case_018,4,scored,257954,252721,1.020706629,8522240,8678528,8449152,229376,,0.469030464,3693568,4181332,653,1056,8,36.374,results_problem3/case_018_4cores/best_plan.json,results_problem3/case_018_4cores/best_result.json.gz
case_018,5,scored,208026,206528,1.007253254,4993032,5017608,4599816,417792,,0.543431666,3592192,3018008,616,661,8,23.039,results_problem3/case_018_5cores/best_plan.json,results_problem3/case_018_5cores/best_result.json.gz
case_019,1,scored,81144,81144,1.000000000,0,0,0,0,,0.000000000,0,179252,0,88,1,1.071,results_problem3/case_019_1cores/best_plan.json,results_problem3/case_019_1cores/best_result.json.gz
case_019,2,scored,39408,39408,1.000000000,30244,30244,30244,0,,0.130641764,27168,180790,4,90,8,5.322,results_problem3/case_019_2cores/best_plan.json,results_problem3/case_019_2cores/best_result.json.gz
case_019,3,scored,27240,27240,1.000000000,74824,74824,74824,0,,0.155648151,37952,205880,6,98,8,5.906,results_problem3/case_019_3cores/best_plan.json,results_problem3/case_019_3cores/best_result.json.gz
case_019,4,scored,20966,20966,1.000000000,224616,224616,224616,0,,0.171308890,56928,275384,9,115,8,6.327,results_problem3/case_019_4cores/best_plan.json,results_problem3/case_019_4cores/best_result.json.gz
case_019,5,scored,15947,15947,1.000000000,207492,207492,207492,0,,0.258720304,84096,240950,13,108,8,6.540,results_problem3/case_019_5cores/best_plan.json,results_problem3/case_019_5cores/best_result.json.gz
case_020,1,scored,532746,532746,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,1,8.226,results_problem3/case_020_1cores/best_plan.json,results_problem3/case_020_1cores/best_result.json.gz
case_020,2,scored,266580,266580,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,6,29.514,results_problem3/case_020_2cores/best_plan.json,results_problem3/case_020_2cores/best_result.json.gz
case_020,3,scored,177950,177950,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,8,36.808,results_problem3/case_020_3cores/best_plan.json,results_problem3/case_020_3cores/best_result.json.gz
case_020,4,scored,133704,133704,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,8,36.096,results_problem3/case_020_4cores/best_plan.json,results_problem3/case_020_4cores/best_result.json.gz
case_020,5,scored,107650,107650,1.000000000,0,0,0,0,,0.000000000,0,1179648,0,288,8,36.523,results_problem3/case_020_5cores/best_plan.json,results_problem3/case_020_5cores/best_result.json.gz
case_021,1,scored,6567937,6558837,1.001387441,4501504,4501504,0,4501504,,0.500597372,3432448,3424256,838,711,1,7.384,results_problem3/case_021_1cores/best_plan.json,results_problem3/case_021_1cores/best_result.json.gz
case_021,2,scored,3193640,3148081,1.014471991,4091904,5115904,1536000,3579904,,0.250000000,1456128,4368384,237,651,8,34.434,results_problem3/case_021_2cores/best_plan.json,results_problem3/case_021_2cores/best_result.json.gz
case_021,3,scored,2119546,2119212,1.000157606,8863744,8863744,6774784,2088960,,0.547467007,5267456,4354048,1042,672,8,39.396,results_problem3/case_021_3cores/best_plan.json,results_problem3/case_021_3cores/best_result.json.gz
case_021,4,scored,1552593,1552549,1.000028340,5591040,5591040,5591040,0,,0.313291139,2027520,4444160,330,670,8,38.380,results_problem3/case_021_4cores/best_plan.json,results_problem3/case_021_4cores/best_result.json.gz
case_021,5,scored,1249670,1241164,1.006853244,11030528,7526400,7526400,0,,0.539689119,5332992,4548608,950,850,8,41.137,results_problem3/case_021_5cores/best_plan.json,results_problem3/case_021_5cores/best_result.json.gz
case_022,1,scored,56780,56780,1.000000000,0,0,0,0,,0.000000000,0,213540,0,138,1,1.819,results_problem3/case_022_1cores/best_plan.json,results_problem3/case_022_1cores/best_result.json.gz
case_022,2,scored,28318,28318,1.000000000,37648,37648,37648,0,,0.149820846,37632,213548,18,142,8,8.878,results_problem3/case_022_2cores/best_plan.json,results_problem3/case_022_2cores/best_result.json.gz
case_022,3,scored,18899,18899,1.000000000,23064,23064,23064,0,,0.097399743,23044,213548,17,142,8,9.593,results_problem3/case_022_3cores/best_plan.json,results_problem3/case_022_3cores/best_result.json.gz
case_022,4,scored,14372,14372,1.000000000,49968,49968,49968,0,,0.189476401,49924,213560,32,148,8,10.499,results_problem3/case_022_4cores/best_plan.json,results_problem3/case_022_4cores/best_result.json.gz
case_022,5,scored,11525,11476,1.004269780,20736,20736,20736,0,,0.088510987,20736,213540,9,138,8,10.343,results_problem3/case_022_5cores/best_plan.json,results_problem3/case_022_5cores/best_result.json.gz
case_023,1,scored,122614,122614,1.000000000,0,0,0,0,,0.000000000,0,434122,0,134,1,1.582,results_problem3/case_023_1cores/best_plan.json,results_problem3/case_023_1cores/best_result.json.gz
case_023,2,scored,59738,59594,1.002416351,131360,148908,148908,0,,0.161392667,93600,486352,12,140,8,7.857,results_problem3/case_023_2cores/best_plan.json,results_problem3/case_023_2cores/best_result.json.gz
case_023,3,scored,40728,40728,1.000000000,228948,228948,228948,0,,0.089868454,58944,596948,12,148,8,8.877,results_problem3/case_023_3cores/best_plan.json,results_problem3/case_023_3cores/best_result.json.gz
case_023,4,scored,32086,32086,1.000000000,331480,331480,331480,0,,0.035162567,26308,721874,15,154,8,9.335,results_problem3/case_023_4cores/best_plan.json,results_problem3/case_023_4cores/best_result.json.gz
case_023,5,scored,25352,25352,1.000000000,355680,355680,355680,0,,0.127886866,100416,684778,7,147,8,8.826,results_problem3/case_023_5cores/best_plan.json,results_problem3/case_023_5cores/best_result.json.gz
case_024,1,scored,2555343,2555343,1.000000000,0,0,0,0,,0.000000000,0,393216,0,12,1,9.904,results_problem3/case_024_1cores/best_plan.json,results_problem3/case_024_1cores/best_result.json.gz
case_024,2,scored,1546201,1543307,1.001875194,396024,396032,396032,0,,0.499106418,393216,394624,12,716,8,51.778,results_problem3/case_024_2cores/best_plan.json,results_problem3/case_024_2cores/best_result.json.gz
case_024,3,scored,1280881,1276684,1.003287423,396456,396464,396464,0,,0.499223405,393416,394640,112,724,8,57.470,results_problem3/case_024_3cores/best_plan.json,results_problem3/case_024_3cores/best_result.json.gz
case_024,4,scored,1120991,1116704,1.003838976,495932,528708,528708,0,,0.570490392,524688,395026,216,917,8,57.661,results_problem3/case_024_4cores/best_plan.json,results_problem3/case_024_4cores/best_result.json.gz
case_024,5,scored,865249,861730,1.004083646,332512,332524,332524,0,,0.453852939,328280,395038,310,923,8,59.254,results_problem3/case_024_5cores/best_plan.json,results_problem3/case_024_5cores/best_result.json.gz
case_025,1,scored,4863026,4863026,1.000000000,0,0,0,0,,0.000000000,0,4122624,0,2669,1,67.900,results_problem3/case_025_1cores/best_plan.json,results_problem3/case_025_1cores/best_result.json.gz
case_025,2,scored,2431840,2431840,1.000000000,27648,27648,27648,0,,0.000000000,0,4150272,0,2672,1,24.730,results_problem3/case_025_2cores/best_plan.json,results_problem3/case_025_2cores/best_result.json.gz
case_025,3,scored,1622164,1622164,1.000000000,55296,55296,55296,0,,0.000000000,0,4177920,0,2675,1,21.313,results_problem3/case_025_3cores/best_plan.json,results_problem3/case_025_3cores/best_result.json.gz
case_025,4,scored,1217444,1217444,1.000000000,82944,82944,82944,0,,0.000000000,0,4205568,0,2678,1,19.798,results_problem3/case_025_4cores/best_plan.json,results_problem3/case_025_4cores/best_result.json.gz
case_025,5,scored,975282,975282,1.000000000,110592,110592,110592,0,,0.000000000,0,4233216,0,2681,1,18.456,results_problem3/case_025_5cores/best_plan.json,results_problem3/case_025_5cores/best_result.json.gz
case_026,1,scored,99203,99203,1.000000000,0,0,0,0,,0.000000000,0,488886,0,102,1,1.171,results_problem3/case_026_1cores/best_plan.json,results_problem3/case_026_1cores/best_result.json.gz
case_026,2,scored,49119,49119,1.000000000,169436,169436,169436,0,,0.257317333,169392,488908,18,113,8,6.012,results_problem3/case_026_2cores/best_plan.json,results_problem3/case_026_2cores/best_result.json.gz
case_026,3,scored,36255,35351,1.025572120,484280,612992,612992,0,,0.430399081,436200,577278,48,155,8,7.546,results_problem3/case_026_3cores/best_plan.json,results_problem3/case_026_3cores/best_result.json.gz
case_026,4,scored,25758,25696,1.002412827,471672,471672,471672,0,,0.303104904,278748,640894,36,156,8,7.362,results_problem3/case_026_4cores/best_plan.json,results_problem3/case_026_4cores/best_result.json.gz
case_026,5,scored,23572,22583,1.043794004,517176,517176,517176,0,,0.306877846,281604,636038,45,164,8,7.832,results_problem3/case_026_5cores/best_plan.json,results_problem3/case_026_5cores/best_result.json.gz
case_027,1,scored,2363952,2359515,1.001880471,1400832,1400832,0,1400832,,0.268939394,872448,2371584,213,489,1,2.572,results_problem3/case_027_1cores/best_plan.json,results_problem3/case_027_1cores/best_result.json.gz
case_027,2,scored,1115722,1115722,1.000000000,1105920,1105920,1105920,0,,0.000000000,0,2949120,0,540,8,12.309,results_problem3/case_027_2cores/best_plan.json,results_problem3/case_027_2cores/best_result.json.gz
case_027,3,scored,747470,747265,1.000274334,8501248,8491008,8491008,0,,0.287385845,2062336,5113856,398,637,8,19.775,results_problem3/case_027_3cores/best_plan.json,results_problem3/case_027_3cores/best_result.json.gz
case_027,4,scored,559196,559196,1.000000000,3317760,3317760,3317760,0,,0.000000000,0,5160960,0,900,8,14.969,results_problem3/case_027_4cores/best_plan.json,results_problem3/case_027_4cores/best_result.json.gz
case_027,5,scored,453694,450393,1.007329155,11204608,11208704,11208704,0,,0.289504305,2547712,6252544,488,734,8,22.342,results_problem3/case_027_5cores/best_plan.json,results_problem3/case_027_5cores/best_result.json.gz
case_028,1,scored,43836040,43836040,1.000000000,277412256,277412256,0,277412256,,0.000000000,0,278067744,0,8497,1,84.690,results_problem3/case_028_1cores/best_plan.json,results_problem3/case_028_1cores/best_result.json.gz
