"case","cores","status","makespan_cycles","added_copy_bytes","speedup","method","plan_file"
"case_019","4","scored","22313","162912","3.636624389369426","hybrid","plans/case_019_4cores.json"
"case_019","5","scored","18931","286816","4.286302889","generic_multi_candidate_official_score","plans/case_019_5cores.json"
"case_020","1","scored","532746","0","1.0","singlecore",""
"case_020","2","scored","266580","0","1.9984469952734638","hybrid","plans/case_020_2cores.json"
"case_020","3","scored","177950","0","2.993796010115201","hybrid","plans/case_020_3cores.json"
"case_020","4","scored","133704","0","3.984518039849219","hybrid","plans/case_020_4cores.json"
"case_020","5","scored","107650","0","4.948871342","generic_multi_candidate_official_score","plans/case_020_5cores.json"
"case_021","1","scored","6567937","4501504","1.0","singlecore",""
"case_021","2","scored","3255503","21762048","2.01748762019264","hybrid","plans/case_021_2cores.json"
"case_021","3","scored","2187529","21958656","3.0024456818629606","hybrid","plans/case_021_3cores.json"
"case_021","4","scored","1691190","22222848","3.8836186353987427","hybrid","plans/case_021_4cores.json"
"case_021","5","scored","1283116","18124800","5.118739849","generic_multi_candidate_official_score","plans/case_021_5cores.json"
"case_022","1","scored","56780","0","1.0","singlecore",""
"case_022","2","scored","56780","0","1.0","hybrid","plans/case_022_2cores.json"
"case_022","3","scored","56780","0","1.0","hybrid","plans/case_022_3cores.json"
"case_022","4","scored","56780","0","1.0","hybrid","plans/case_022_4cores.json"
"case_022","5","scored","12818","27648","4.429708223","generic_multi_candidate_official_score","plans/case_022_5cores.json"
"case_023","1","scored","122614","0","1.0","singlecore",""
"case_023","2","scored","102112","407712","1.20077953619555","hybrid","plans/case_023_2cores.json"
"case_023","3","scored","117659","634280","1.0421132255076109","hybrid","plans/case_023_3cores.json"
"case_023","4","scored","40630","739298","3.0178193453113464","hybrid","plans/case_023_4cores.json"
"case_023","5","scored","28261","429024","4.338629206","generic_multi_candidate_official_score","plans/case_023_5cores.json"
"case_024","1","scored","2555343","0","1.0","singlecore",""
"case_024","2","scored","2555343","0","1.0","hybrid","plans/case_024_2cores.json"
"case_024","3","scored","1780470","39323008","1.4352069959055755","hybrid","plans/case_024_3cores.json"
"case_024","4","scored","1780470","39323008","1.4352069959055755","hybrid","plans/case_024_4cores.json"
"case_024","5","scored","1581103","39328444","1.616177441","generic_multi_candidate_official_score","plans/case_024_5cores.json"
"case_025","1","scored","4863026","0","1.0","singlecore",""
"case_025","2","scored","2431840","27648","1.9997310678334101","hybrid","plans/case_025_2cores.json"
"case_025","3","scored","1622164","55296","2.9978633479722148","hybrid","plans/case_025_3cores.json"
"case_025","4","scored","1217444","82944","3.9944555971362954","hybrid","plans/case_025_4cores.json"
"case_025","5","scored","975282","110592","4.986276790","generic_multi_candidate_official_score","plans/case_025_5cores.json"
"case_026","1","scored","99203","0","1.0","singlecore",""
"case_026","2","scored","99203","0","1.0","hybrid","plans/case_026_2cores.json"
"case_026","3","scored","42105","680104","2.356085975537347","hybrid","plans/case_026_3cores.json"
"case_026","4","scored","35574","751096","2.7886377691572495","hybrid","plans/case_026_4cores.json"
"case_026","5","scored","35574","751096","2.788637769","generic_multi_candidate_official_score","plans/case_026_5cores.json"
"case_027","1","scored","2363952","1400832","1.0","singlecore",""
"case_027","2","scored","1167223","7716864","2.025278802765196","hybrid","plans/case_027_2cores.json"
"case_027","3","scored","804118","7888896","2.9398073417085553","hybrid","plans/case_027_3cores.json"
"case_027","4","scored","640782","8798208","3.6891672987068924","hybrid","plans/case_027_4cores.json"
"case_027","5","scored","510549","9510912","4.630215709","generic_multi_candidate_official_score","plans/case_027_5cores.json"
"case_028","1","scored","43836040","277412256","1.0","singlecore",""
"case_028","2","scored","20709631","336587136","2.116698264686609","hybrid","plans/case_028_2cores.json"
"case_028","3","scored","13941315","337818624","3.144326055325484","hybrid","plans/case_028_3cores.json"
"case_028","4","scored","11363849","340720128","3.8574993384723784","hybrid","plans/case_028_4cores.json"
"case_028","5","scored","9528372","336273408","4.600580246","generic_multi_candidate_official_score","plans/case_028_5cores.json"
"case_029","1","scored","37555","0","1.0","singlecore",""
"case_029","2","scored","19740","0","1.9024822695035462","hybrid","plans/case_029_2cores.json"
"case_029","3","scored","12743","0","2.9471082162756024","hybrid","plans/case_029_3cores.json"
"case_029","4","scored","11028","0","3.405422560754443","hybrid","plans/case_029_4cores.json"
"case_029","5","scored","9383","0","4.002451242","generic_multi_candidate_official_score","plans/case_029_5cores.json"
"case_030","1","scored","2808034","5519360","1.0","singlecore",""
"case_030","2","scored","1399149","6877184","2.006958515497635","hybrid","plans/case_030_2cores.json"
"case_030","3","scored","933256","8949248","3.008857162450603","hybrid","plans/case_030_3cores.json"
"case_030","4","scored","698838","7811072","4.018147267320895","hybrid","plans/case_030_4cores.json"
"case_030","5","scored","560819","10660864","5.007023656","generic_multi_candidate_official_score","plans/case_030_5cores.json"
"case_031","1","scored","1414369","3491328","1.0","singlecore",""
"case_031","2","scored","784861","12710794","1.8020630404619418","hybrid","plans/case_031_2cores.json"
"case_031","3","scored","595604","16471242","2.3746801566141262","hybrid","plans/case_031_3cores.json"
"case_031","4","scored","519083","14530502","2.7247453682744376","hybrid","plans/case_031_4cores.json"
"case_031","5","scored","302029","13281792","4.682891378","generic_multi_candidate_official_score","plans/case_031_5cores.json"
"case_032","1","scored","41443","0","1.0","singlecore",""
"case_032","2","scored","34880","51320","1.1881594036697247","hybrid","plans/case_032_2cores.json"
"case_032","3","scored","36292","76922","1.141932106249311","hybrid","plans/case_032_3cores.json"
"case_032","4","scored","30349","221342","1.365547464496359","hybrid","plans/case_032_4cores.json"
"case_032","5","scored","10197","55440","4.064234579","generic_multi_candidate_official_score","plans/case_032_5cores.json"
"case_033","1","scored","1774196","4592640","1.0","singlecore",""
"case_033","2","scored","890145","6214204","1.9931539243606378","hybrid","plans/case_033_2cores.json"
"case_033","3","scored","588684","8385644","3.013834247236208","hybrid","plans/case_033_3cores.json"
"case_033","4","scored","475107","13640452","3.734308271610395","hybrid","plans/case_033_4cores.json"
"case_033","5","scored","375351","12826272","4.726765081","generic_multi_candidate_official_score","plans/case_033_5cores.json"
"case_034","1","scored","842996","1079832","1.0","singlecore",""
"case_034","2","scored","417854","1651200","2.0174414987052893","hybrid","plans/case_034_2cores.json"
"case_034","3","scored","278203","2906268","3.0301470508944908","hybrid","plans/case_034_3cores.json"
"case_034","4","scored","206816","3338808","4.076067615658363","hybrid","plans/case_034_4cores.json"
"case_034","5","scored","173623","3350528","4.855324467","generic_multi_candidate_official_score","plans/case_034_5cores.json"
"case_035","1","scored","169571","0","1.0","singlecore",""
"case_035","2","scored","140010","90792","1.2111349189343619","hybrid","plans/case_035_2cores.json"
"case_035","3","scored","144118","189792","1.1766122205415006","hybrid","plans/case_035_3cores.json"
"case_035","4","scored","145328","157582","1.1668157547065947","hybrid","plans/case_035_4cores.json"
"case_035","5","scored","48026","998298","3.530816641","generic_multi_candidate_official_score","plans/case_035_5cores.json"
"case_036","1","scored","931510","0","1.0","singlecore",""
"case_036","2","scored","466068","1152","1.998656848356892","hybrid","plans/case_036_2cores.json"
"case_036","3","scored","311345","2304","2.991890025534375","hybrid","plans/case_036_3cores.json"
"case_036","4","scored","233584","3456","3.987901568600589","hybrid","plans/case_036_4cores.json"
"case_036","5","scored","187182","4608","4.976493466","generic_multi_candidate_official_score","plans/case_036_5cores.json"
"case_037","1","scored","210001","0","1.0","singlecore",""
"case_037","2","scored","105374","204800","1.992910964754114","hybrid","plans/case_037_2cores.json"
"case_037","3","scored","74038","1064960","2.836394824279424","hybrid","plans/case_037_3cores.json"
"case_037","4","scored","62969","1859584","3.3349902332893966","hybrid","plans/case_037_4cores.json"
"case_037","5","scored","46592","1925120","4.507233001","generic_multi_candidate_official_score","plans/case_037_5cores.json"
"case_038","1","scored","1364555","5627904","1.0","singlecore",""
"case_038","2","scored","677654","4032176","2.0136456067550697","hybrid","plans/case_038_2cores.json"
"case_038","3","scored","452464","7173172","3.0158310937444748","hybrid","plans/case_038_3cores.json"
"case_038","4","scored","340451","8652800","4.008080457980737","hybrid","plans/case_038_4cores.json"
"case_038","5","scored","273660","7967776","4.986315136","generic_multi_candidate_official_score","plans/case_038_5cores.json"
"case_039","1","scored","1435262","7929856","1.0","singlecore",""
"case_039","2","scored","708561","11067392","2.025601183243221","hybrid","plans/case_039_2cores.json"
"case_039","3","scored","483917","14516224","2.96592597490892","hybrid","plans/case_039_3cores.json"
"case_039","4","scored","395323","17604608","3.6306058590064327","hybrid","plans/case_039_4cores.json"
"case_039","5","scored","395323","17604608","3.630605859","generic_multi_candidate_official_score","plans/case_039_5cores.json"
"case_040","1","scored","253454","0","1.0","singlecore",""
"case_040","2","scored","253244","1296582","1.0008292397845555","hybrid","plans/case_040_2cores.json"
"case_040","3","scored","249834","1487172","1.014489621108416","hybrid","plans/case_040_3cores.json"
"case_040","4","scored","253454","0","1.0","hybrid","plans/case_040_4cores.json"
"case_040","5","scored","74782","1967088","3.389238052","generic_multi_candidate_official_score","plans/case_040_5cores.json"
"case_041","1","scored","6003957","30898176","1.0","singlecore",""
"case_041","2","scored","3093537","64760832","1.940806591290164","hybrid","plans/case_041_2cores.json"
"case_041","3","scored","3093537","64760832","1.940806591290164","hybrid","plans/case_041_3cores.json"
"case_041","4","scored","3093537","64760832","1.940806591290164","hybrid","plans/case_041_4cores.json"
"case_041","5","scored","1202006","38206464","4.994947613","generic_multi_candidate_official_score","plans/case_041_5cores.json"
"case_042","1","scored","1686740","6629376","1.0","singlecore",""
"case_042","2","scored","849765","6830380","1.9849487799568115","hybrid","plans/case_042_2cores.json"
"case_042","3","scored","571060","8981068","2.9537001365880995","hybrid","plans/case_042_3cores.json"
"case_042","4","scored","431409","8640364","3.9098396185522324","hybrid","plans/case_042_4cores.json"
"case_042","5","scored","342779","10375020","4.920779861","generic_multi_candidate_official_score","plans/case_042_5cores.json"
"case_043","1","scored","677656","49160","1.0","singlecore",""
"case_043","2","scored","677656","49160","1.0","hybrid","plans/case_043_2cores.json"
"case_043","3","scored","598016","3450638","1.1331736943493151","hybrid","plans/case_043_3cores.json"
"case_043","4","scored","677656","49160","1.0","hybrid","plans/case_043_4cores.json"
"case_043","5","scored","165649","6117802","4.090915128","generic_multi_candidate_official_score","plans/case_043_5cores.json"
"case_044","1","scored","154407","4438112","1.0","singlecore",""
"case_044","2","scored","120471","4933632","1.2816943496775157","hybrid","plans/case_044_2cores.json"
"case_044","3","scored","154407","4438112","1.0","hybrid","plans/case_044_3cores.json"
"case_044","4","scored","154407","4438112","1.0","hybrid","plans/case_044_4cores.json"
"case_044","5","scored","120471","4933632","1.281694350","generic_multi_candidate_official_score","plans/case_044_5cores.json"
"case_045","1","scored","125614","0","1.0","singlecore",""
"case_045","2","scored","63059","0","1.99200748505368","hybrid","plans/case_045_2cores.json"
"case_045","3","scored","42601","0","2.94861622966597","hybrid","plans/case_045_3cores.json"
"case_045","4","scored","31878","0","3.940460505677897","hybrid","plans/case_045_4cores.json"
"case_045","5","scored","26164","0","4.801024308","generic_multi_candidate_official_score","plans/case_045_5cores.json"
"case_046","1","scored","276455","3176288","1.0","singlecore",""
"case_046","2","scored","267925","6842528","1.031837267892134","hybrid","plans/case_046_2cores.json"
"case_046","3","scored","273892","6820000","1.0093577030362333","hybrid","plans/case_046_3cores.json"
"case_046","4","scored","276455","3176288","1.0","hybrid","plans/case_046_4cores.json"
"case_046","5","scored","131291","5887136","2.105666040","generic_multi_candidate_official_score","plans/case_046_5cores.json"
"case_047","1","scored","326508","0","1.0","singlecore",""
"case_047","2","scored","321490","615988","1.0156085725839061","hybrid","plans/case_047_2cores.json"
"case_047","3","scored","322224","769760","1.0132950990615224","hybrid","plans/case_047_3cores.json"
"case_047","4","scored","321554","739520","1.015406432512113","hybrid","plans/case_047_4cores.json"
"case_047","5","scored","101911","2350420","3.203854343","generic_multi_candidate_official_score","plans/case_047_5cores.json"
"case_048","1","scored","222220","0","1.0","singlecore",""
"case_048","2","scored","219161","316346","1.0139577753341151","hybrid","plans/case_048_2cores.json"
"case_048","3","scored","219038","496910","1.0145271596709247","hybrid","plans/case_048_3cores.json"
"case_048","4","scored","214036","596688","1.038236558335981","hybrid","plans/case_048_4cores.json"
"case_048","5","scored","110872","754070","2.004293239","generic_multi_candidate_official_score","plans/case_048_5cores.json"
"case_049","1","scored","196276","0","1.0","singlecore",""
"case_049","2","scored","196276","0","1.0","hybrid","plans/case_049_2cores.json"
"case_049","3","scored","196276","0","1.0","hybrid","plans/case_049_3cores.json"
"case_049","4","scored","196276","0","1.0","hybrid","plans/case_049_4cores.json"
"case_049","5","scored","49513","927844","3.964130632","generic_multi_candidate_official_score","plans/case_049_5cores.json"
"case_050","1","scored","149690","0","1.0","singlecore",""
"case_050","2","scored","149690","0","1.0","hybrid","plans/case_050_2cores.json"
"case_050","3","scored","149690","0","1.0","hybrid","plans/case_050_3cores.json"
"case_050","4","scored","149690","0","1.0","hybrid","plans/case_050_4cores.json"
"case_050","5","scored","38173","856822","3.921358028","generic_multi_candidate_official_score","plans/case_050_5cores.json"
"case_051","1","scored","607628","0","1.0","singlecore",""
"case_051","2","scored","607628","0","1.0","hybrid","plans/case_051_2cores.json"
"case_051","3","scored","423422","9044298","1.4350411646064682","hybrid","plans/case_051_3cores.json"
"case_051","4","scored","470730","9044344","1.290820640282115","hybrid","plans/case_051_4cores.json"
"case_051","5","scored","375514","9045576","1.618123425","generic_multi_candidate_official_score","plans/case_051_5cores.json"
"case_052","1","scored","180301","0","1.0","singlecore",""
"case_052","2","scored","90631","78336","1.98939656408955","hybrid","plans/case_052_2cores.json"
"case_052","3","scored","60338","156672","2.9881832344459545","hybrid","plans/case_052_3cores.json"
"case_052","4","scored","46558","254976","3.8726105073241976","hybrid","plans/case_052_4cores.json"
"case_052","5","scored","37440","328704","4.815731838","generic_multi_candidate_official_score","plans/case_052_5cores.json"
"case_053","1","scored","1472686","5405536","1.0","singlecore",""
"case_053","2","scored","771456","12337510","1.9089695329351253","hybrid","plans/case_053_2cores.json"
"case_053","3","scored","951221","13121630","1.5482059374214825","hybrid","plans/case_053_3cores.json"
"case_053","4","scored","719076","13419508","2.0480255216416623","hybrid","plans/case_053_4cores.json"
"case_053","5","scored","400697","12616464","3.675310771","generic_multi_candidate_official_score","plans/case_053_5cores.json"
"case_054","1","scored","815051","0","1.0","singlecore",""
"case_054","2","scored","532660","2897210","1.530152442458604","hybrid","plans/case_054_2cores.json"
"case_054","3","scored","549975","2864412","1.4819782717396246","hybrid","plans/case_054_3cores.json"
"case_054","4","scored","815051","0","1.0","hybrid","plans/case_054_4cores.json"
"case_054","5","scored","215247","6475432","3.786584714","generic_multi_candidate_official_score","plans/case_054_5cores.json"
"case_055","1","scored","118835","69632","1.0","singlecore",""
"case_055","2","scored","118835","69632","1.0","hybrid","plans/case_055_2cores.json"
"case_055","3","scored","92410","671976","1.2859539010929553","hybrid","plans/case_055_3cores.json"
"case_055","4","scored","97537","861432","1.218358161518193","hybrid","plans/case_055_4cores.json"
"case_055","5","scored","28050","247808","4.236541889","generic_multi_candidate_official_score","plans/case_055_5cores.json"
"case_056","1","scored","277285","0","1.0","singlecore",""
"case_056","2","scored","277285","0","1.0","hybrid","plans/case_056_2cores.json"
"case_056","3","scored","277285","0","1.0","hybrid","plans/case_056_3cores.json"
"case_056","4","scored","277285","0","1.0","hybrid","plans/case_056_4cores.json"
"case_056","5","scored","72093","1610888","3.846212531","generic_multi_candidate_official_score","plans/case_056_5cores.json"
"case_057","1","scored","59726","94216","1.0","singlecore",""
"case_057","2","scored","59726","94216","1.0","hybrid","plans/case_057_2cores.json"
"case_057","3","scored","56077","328362","1.065071241328887","hybrid","plans/case_057_3cores.json"
"case_057","4","scored","59726","94216","1.0","hybrid","plans/case_057_4cores.json"
"case_057","5","scored","14055","70272","4.249448595","generic_multi_candidate_official_score","plans/case_057_5cores.json"
"case_058","1","scored","4539717","28696576","1.0","singlecore",""
"case_058","2","scored","2275721","96780288","1.9948477867014454","hybrid","plans/case_058_2cores.json"
"case_058","3","scored","1554831","30400512","2.9197494775959574","hybrid","plans/case_058_3cores.json"
"case_058","4","scored","2275721","96780288","1.9948477867014454","hybrid","plans/case_058_4cores.json"
"case_058","5","scored","991723","32866304","4.577605844","generic_multi_candidate_official_score","plans/case_058_5cores.json"
"case_059","1","scored","829473","1691648","1.0","singlecore",""
"case_059","2","scored","369318","360448","2.2459587672412393","hybrid","plans/case_059_2cores.json"
"case_059","3","scored","254422","3889152","3.2602251377632436","hybrid","plans/case_059_3cores.json"
"case_059","4","scored","185216","1081344","4.478408992743607","hybrid","plans/case_059_4cores.json"
"case_059","5","scored","150782","4325376","5.501140720","generic_multi_candidate_official_score","plans/case_059_5cores.json"
"case_060","1","scored","888789","2068520","1.0","singlecore",""
"case_060","2","scored","439815","2694284","2.0208246649159305","hybrid","plans/case_060_2cores.json"
"case_060","3","scored","289133","4170136","3.0739797947657306","hybrid","plans/case_060_3cores.json"
"case_060","4","scored","216865","5593732","4.098351509003297","hybrid","plans/case_060_4cores.json"
"case_060","5","scored","182869","6284040","4.860249687","generic_multi_candidate_official_score","plans/case_060_5cores.json"
"case_061","1","scored","77191","0","1.0","singlecore",""
"case_061","2","scored","67761","283056","1.1391655967296823","hybrid","plans/case_061_2cores.json"
"case_061","3","scored","29468","75776","2.6194855436405593","hybrid","plans/case_061_3cores.json"
"case_061","4","scored","23695","136220","3.2576914960962227","hybrid","plans/case_061_4cores.json"
"case_061","5","scored","18851","168476","4.094796032","generic_multi_candidate_official_score","plans/case_061_5cores.json"
"case_062","1","scored","2854809","0","1.0","singlecore",""
"case_062","2","scored","1450948","208896","1.9675474241668205","hybrid","plans/case_062_2cores.json"
"case_062","3","scored","981188","325632","2.909543329107164","hybrid","plans/case_062_3cores.json"
"case_062","4","scored","745782","445440","3.8279403364522073","hybrid","plans/case_062_4cores.json"
"case_062","5","scored","619625","417792","4.607317329","generic_multi_candidate_official_score","plans/case_062_5cores.json"
"case_063","1","scored","1070397","0","1.0","singlecore",""
"case_063","2","scored","559279","313344","1.913887344241425","hybrid","plans/case_063_2cores.json"
"case_063","3","scored","375709","333312","2.849005480305236","hybrid","plans/case_063_3cores.json"
"case_063","4","scored","294489","313344","3.6347605513278936","hybrid","plans/case_063_4cores.json"
"case_063","5","scored","241594","313344","4.430561189","generic_multi_candidate_official_score","plans/case_063_5cores.json"
"case_064","1","scored","19116","0","1.0","singlecore",""
"case_064","2","scored","19116","0","1.0","hybrid","plans/case_064_2cores.json"
"case_064","3","scored","19116","0","1.0","hybrid","plans/case_064_3cores.json"
"case_064","4","scored","19116","0","1.0","hybrid","plans/case_064_4cores.json"
"case_064","5","scored","10078","110652","1.896804922","generic_multi_candidate_official_score","plans/case_064_5cores.json"
"case_065","1","scored","53068","0","1.0","singlecore",""
"case_065","2","scored","26960","13968","1.9683976261127596","hybrid","plans/case_065_2cores.json"
"case_065","3","scored","18032","27936","2.9429902395740903","hybrid","plans/case_065_3cores.json"
"case_065","4","scored","13910","41904","3.81509705248023","hybrid","plans/case_065_4cores.json"
"case_065","5","scored","11459","55872","4.631119644","generic_multi_candidate_official_score","plans/case_065_5cores.json"
"case_066","1","scored","359070","0","1.0","singlecore",""
"case_066","2","scored","240266","1541818","1.4944686306010837","hybrid","plans/case_066_2cores.json"
"case_066","3","scored","209438","1465992","1.7144453251081466","hybrid","plans/case_066_3cores.json"
"case_066","4","scored","239282","2133546","1.5006143378942","hybrid","plans/case_066_4cores.json"
"case_066","5","scored","93761","2968552","3.829630657","generic_multi_candidate_official_score","plans/case_066_5cores.json"
"case_067","1","scored","63834834","264449408","1.0","singlecore",""
"case_067","2","scored","32281863","270584064","1.9774210057207664","hybrid","plans/case_067_2cores.json"
"case_067","3","scored","22088605","272734464","2.889944113718363","hybrid","plans/case_067_3cores.json"
"case_067","4","scored","63834834","264449408","1.0","hybrid","plans/case_067_4cores.json"
"case_067","5","scored","14253135","271417600","4.478652170","generic_multi_candidate_official_score","plans/case_067_5cores.json"
"case_068","1","scored","362095","0","1.0","singlecore",""
